,COMP,DAY,DEPTH,EAST,FIELD,GL,LIC,MONTH,NORTH,PROD,SURF_LOC,TYPE,UWI,WELL,YEAR,LATT,LONGT
0490303,SHELL CANADA LIMITED,03,6565.0M,E 30.3M,DUVERNAY,761M,0490303,08,S 310.0M,GAS,13-04-065-21W5,PRODUCTION,100/09-18-065-21W5/00,SCL HZ FC249A TONY CKN 9-18-65-21,2018,54.5983805458001,-117.116471595
0490304,HIGH POINT OIL INC.,03,2180.0M,W 511.9M,RIVER,837.5M,0490304,08,S 65.1M,OIL,15-28-042-26W4,CRUDE,100/03-28-042-26W4/00,HIGHPOINTOIL CHIGWELL,2018,52.6464978406001,-113.6777777536
0490305,LONG TERM ASSET MANAGEMENT INC.,03,2125.0M,300.0M W,SUNBURST,977.8M,0490305,08,102/01-27-015-26W4/00 S,GAS,16-22-015-26W4,PRODUCTION,102/01-27-015-26W4/00,LTAM DD PARKLDNE,2018,50.2750031410001,-113.4861002476
0490306,CRESTWYND EXPLORATION LTD.,03,2607.1M,W 82.2M,MANNVILLE,671.7M,0490306,08,S 552.5M,OIL,09-23-063-22W4,CRUDE,100/05-13-063-22W4/00,CRESTWYND MEANOOK 5-13-63-22,2018,54.4649313590001,-113.2094004568
0490307,BONTERRA ENERGY CORP.,03,3200.0M,W 172.8M,CARDIUM,873.3M,0490307,08,N 546.4M,OIL,08-04-047-07W5,CRUDE,102/08-03-047-07W5/00,BONTERRA 102 HZ PEMBINA 8-3-47-7,2018,53.0200562383334,-114.955220475333
0490308,SUNCOR ENERGY INC.,03,151.0M,446.9M W,MCMURRAY,375.5M,0490308,08,100/10-24-091-09W4/00 S,NONE,10-24-091-09W4,OBSERVATION,100/10-24-091-09W4/00,SUNCOR ML18-ES402-MR1-VW 10-24-91-9,2018,56.9095514862001,-111.29611134
0490309,PREDATOR OIL LTD.,03,1600.0M,E 341.7M,CLEARWATER,647.6M,0490309,08,N 67.0M,OIL,04-24-063-27W4,CRUDE,100/04-23-063-27W4/00,PRED FRENCH 4-23-63-27,2018,54.4588065660001,-113.9526696838
0490310,PREDATOR OIL LTD.,03,1600.0M,E 342.0M,CLEARWATER,647.6M,0490310,08,N 75.0M,OIL,04-24-063-27W4,CRUDE,102/04-23-063-27W4/00,PRED 102 FRENCH 4-23-63-27,2018,54.4588065660001,-113.9526696838
0490311,PREDATOR OIL LTD.,03,1600.0M,E 347.5M,CLEARWATER,647.7M,0490311,08,N 87.0M,OIL,04-24-063-27W4,CRUDE,100/05-23-063-27W4/00,PRED FRENCH 5-23-63-27,2018,54.4588065660001,-113.9526696838
0490312,PARAMOUNT RESOURCES LTD.,03,3630.0M,E 74.1M,MONTNEY,799.1M,0490312,08,N 599.2M,OIL,05-03-064-18W5,CRUDE,100/04-04-064-18W5/00,PARA KAYBOB 4-4-64-18,2018,54.5039181664001,-116.6375178416
0490313,VELVET ENERGY LTD.,03,5250.0M,E 129.2M,MONTNEY,708M,0490313,08,S 455.8M,OIL,12-01-068-03W6,CRUDE,102/16-10-068-03W6/00,VELVET HZ ELM 16-10-68-3,2018,54.8600982170001,-118.3206074658
0490314,VELVET ENERGY LTD.,03,5250.0M,E 131.4M,MONTNEY,708.1M,0490314,08,S 467.6M,OIL,12-01-068-03W6,CRUDE,103/16-10-068-03W6/00,VELVET HZ ELM 16-10-68-3,2018,54.8600982170001,-118.3206074658
0490315,VELVET ENERGY LTD.,03,5250.0M,E 125.0M,MONTNEY,708M,0490315,08,S 432.2M,OIL,12-01-068-03W6,CRUDE,100/13-11-068-03W6/00,VELVET HZ ELM 13-11-68-3,2018,54.8600982170001,-118.3206074658
0490316,ATHABASCA OIL CORPORATION,03,5800.0M,E 485.0M,MONTNEY,1088.8M,0490316,08,S 473.0M,GAS,11-23-060-24W5,PRODUCTION,102/13-27-060-24W5/00,ATH HZ PLACID 13-27-60-24,2018,54.2052824240001,-117.4911392306
0490317,BONTERRA ENERGY CORP.,03,3350.0M,W 187.8M,CARDIUM,873.3M,0490317,08,N 546.3M,OIL,08-04-047-07W5,CRUDE,100/01-03-047-07W5/00,BONTERRA HZ PEMBINA 1-3-47-7,2018,53.0200562383334,-114.955220475333
