,COMP,DAY,DEPTH,EAST,FIELD,GL,LIC,MONTH,NORTH,PROD,SURF_LOC,TYPE,UWI,WELL,YEAR,LATT,LONGT
0488698,CANADIAN NATURAL RESOURCES LIMITED,02,712.0M,715.3M W,DINA,594.9M,0488698,04,100/16-36-054-04W4/00 S,BITUMEN,09-36-054-04W4,CRUDE,100/16-36-054-04W4/00,CNRL 16A LNDBRGH 16-36-54-4,2018,53.7095317510001,-110.4507809664
0488699,CANADIAN NATURAL RESOURCES LIMITED,02,651.0M,589.5M E,CLEARWATER,613.1M,0488699,04,103/12-26-055-05W4/00 S,BITUMEN,11-26-055-05W4,CRUDE,103/12-26-055-05W4/00,CNRL 12C LNDBRGH 12-26-55-5,2018,53.7828287616001,-110.638810452
0488700,CANADIAN NATURAL RESOURCES LIMITED,02,795.0M,584.4M E,CLEARWATER,613.1M,0488700,04,102/13-26-055-05W4/00 S,BITUMEN,11-26-055-05W4,CRUDE,102/13-26-055-05W4/00,CNRL 13D LNDBRGH 13-26-55-5,2018,53.7828287616001,-110.638810452
0488701,CANADIAN NATURAL RESOURCES LIMITED,02,715.0M,580.0M E,CLEARWATER,613.1M,0488701,04,102/14-26-055-05W4/00 S,BITUMEN,11-26-055-05W4,CRUDE,102/14-26-055-05W4/00,CNRL 14D LNDBRGH 14-26-55-5,2018,53.7828287616001,-110.638810452
0488702,CANADIAN NATURAL RESOURCES LIMITED,02,678.0M,477.3M W,DINA,592.3M,0488702,04,100/01-36-054-04W4/00 N,BITUMEN,08-36-054-04W4,CRUDE,100/01-36-054-04W4/00,CNRL 1B LNDBRGH 1-36-54-4,2018,53.7023393886001,-110.450772589
0488703,CANADIAN NATURAL RESOURCES LIMITED,02,551.0M,477.3M W,DINA,592M,0488703,04,100/08-36-054-04W4/00 N,BITUMEN,08-36-054-04W4,CRUDE,100/08-36-054-04W4/00,CNRL 8A LNDBRGH 8-36-54-4,2018,53.7023393886001,-110.450772589
0488704,CANADIAN NATURAL RESOURCES LIMITED,02,756.0M,738.4M W,DINA,653.3M,0488704,04,100/16-26-053-06W4/00 S,OIL,10-26-053-06W4,CRUDE,100/16-26-053-06W4/00,CNRL 16B LIND 16-26-53-6,2018,53.60766029,-110.7707266948
0488705,CANADIAN NATURAL RESOURCES LIMITED,02,901.0M,477.3M W,DINA,592.1M,0488705,04,100/13-30-054-03W4/00 N,BITUMEN,08-36-054-04W4,CRUDE,100/13-30-054-03W4/00,CNRL 13B FROG LK 13-30-54-3,2018,53.7023393886001,-110.450772589
0488706,BONAVISTA ENERGY CORPORATION,03,5621.0M,W 84.8M,GLAUCONITIC,1144.7M,0488706,04,N 70.6M,GAS,01-11-038-09W5,PRODUCTION,100/06-36-037-09W5/00,BEC HZ FERRIER 6-36-37-9,2018,52.2483628692001,-115.1705883842
0488707,VESTA ENERGY LTD.,03,6000.0M,E 199.5M,DUVERNAY,941.5M,0488707,04,S 188.2M,OIL,13-20-038-28W4,CRUDE,102/04-17-038-28W4/00,VESTA CYGNET,2018,52.2846303758001,-113.9710442466
0488708,VESTA ENERGY LTD.,03,6000.0M,E 199.4M,DUVERNAY,941.6M,0488708,04,S 198.2M,OIL,13-20-038-28W4,CRUDE,103/04-17-038-28W4/00,VESTA CYGNET,2018,52.2846303758001,-113.9710442466
0488709,KARVE ENERGY INC.,03,1454.0M,103.0M W,VIKING,666.5M,0488709,04,102/13-28-035-04W4/00 S,OIL,15-28-035-04W4,CRUDE,102/13-28-035-04W4/00,KARVE 102 HZ PROVOST 13-28-35-4,2018,52.0352626558001,-110.5074659804
0488710,KARVE ENERGY INC.,03,1519.0M,118.0M W,VIKING,666.5M,0488710,04,103/13-28-035-04W4/00 S,OIL,15-28-035-04W4,CRUDE,103/13-28-035-04W4/00,KARVE 103 HZ PROVOST 13-28-35-4,2018,52.0352626558001,-110.5074659804
0488711,BONTERRA ENERGY CORP.,03,3160.0M,W 209.8M,CARDIUM,849.1M,0488711,04,S 207.1M,OIL,16-08-048-06W5,CRUDE,102/15-17-048-06W5/00,BONTERRA 102 HZ PEMBINA 15-17-48-6,2018,53.1284007404001,-114.8330621358
0488712,KARVE ENERGY INC.,03,1912.0M,224.9M E,VIKING,712.1M,0488712,04,102/13-26-035-04W4/00 N,OIL,03-26-035-04W4,CRUDE,102/13-26-035-04W4/00,KARVE 102 HZ PROVOST,2018,52.0280565862,-110.4715817542
0488713,KARVE ENERGY INC.,03,1892.0M,224.9M E,VIKING,712.2M,0488713,04,100/14-26-035-04W4/00 N,OIL,03-26-035-04W4,CRUDE,100/14-26-035-04W4/00,KARVE HZ PROVOST,2018,52.0280565862,-110.4715817542
0488714,SHELL CANADA LIMITED,03,6820.0M,W 132.4M,DUVERNAY,794M,0488714,04,N 779.1M,GAS,08-29-063-19W5,PRODUCTION,102/04-06-064-19W5/00,SCL HZ FC131E KAYBOB 4-6-64-19,2018,54.4748386422,-116.8267334008
