,COMP,DAY,DEPTH,EAST,FIELD,GL,LIC,MONTH,NORTH,PROD,SURF_LOC,TYPE,UWI,WELL,YEAR,LATT,LONGT
0488807,SEVEN GENERATIONS ENERGY LTD.,12,6300.0M,W 254.2M,MONTNEY,940M,0488807,04,N 21.6M,GAS,01-07-064-05W6,PRODUCTION,102/07-13-064-06W6/00,7GEN HZ 102 KAKWA 7-13-64-6,2018,54.5183437826001,-118.7328782488
0488808,SEVEN GENERATIONS ENERGY LTD.,12,6300.0M,W 244.9M,MONTNEY,940.3M,0488808,04,N 25.2M,GAS,01-07-064-05W6,PRODUCTION,103/07-13-064-06W6/00,7GEN HZ 104 KAKWA 7-13-64-6,2018,54.5183437826001,-118.7328782488
0488809,SEVEN GENERATIONS ENERGY LTD.,12,6300.0M,W 214.6M,MONTNEY,943.3M,0488809,04,S 3.9M,GAS,16-06-064-05W6,PRODUCTION,100/08-13-064-06W6/00,7GEN HZ KAKWA 8-13-64-6,2018,54.5111160056,-118.7328757558
0488810,SEVEN GENERATIONS ENERGY LTD.,12,6300.0M,W 218.1M,MONTNEY,942.7M,0488810,04,N 5.4M,GAS,01-07-064-05W6,PRODUCTION,100/09-13-064-06W6/00,7GEN HZ KAKWA 9-13-64-6,2018,54.5183437826001,-118.7328782488
0488811,CANADIAN NATURAL RESOURCES LIMITED,12,6100.0M,E 705.7M,MONTNEY,789.5M,0488811,04,N 275.1M,OIL,03-17-072-08W6,CRUDE,100/03-05-072-08W6/00,CNRL HZ WEMBLEY 3-5-72-8,2018,55.2310413120001,-119.1949043174
0488812,CANADIAN NATURAL RESOURCES LIMITED,12,6250.0M,E 705.7M,MONTNEY,789.2M,0488812,04,N 295.2M,OIL,03-17-072-08W6,CRUDE,100/04-05-072-08W6/00,CNRL HZ WEMBLEY 4-5-72-8,2018,55.2310413120001,-119.1949043174
0488813,CANADIAN COASTAL RESOURCES LTD.,12,2045.0M,E 733.9M,WABAMUN,844M,0488813,04,N 665.8M,OIL,06-29-060-13W5,CRUDE,104/06-29-060-13W5/00,CCRL WHCOURT 6-29-60-13,2018,54.2127858150001,-115.9163393048
0488814,SITKA EXPLORATION LTD.,13,4150.0M,E 55.0M,ELLERSLIE,1002M,0488814,04,N 236.6M,GAS,04-23-034-04W5,PRODUCTION,100/05-22-034-04W5/00,SITKA EXPL HZ CAROL 5-22-34-4,2018,51.9275142752001,-114.464634219
0488815,RIFLE SHOT OIL CORP.,13,1908.0M,349.4M W,DINA,697M,0488815,04,104/05-07-039-06W4/00 S,OIL,15-07-039-06W4,CRUDE,104/05-07-039-06W4/00,RSO PROVOST 5-7-39-6,2018,52.3407275048001,-110.8472314628
0488816,BELLATRIX EXPLORATION LTD.,13,3810.0M,E 190.8M,MANNVILLE,1004.7M,0488816,04,N 19.2M,GAS,04-22-043-09W5,PRODUCTION,102/04-15-043-09W5/00,BELLATRIX UMNV WILLGR 4-15-43-9,2018,52.7146317762001,-115.2248686142
0488817,BELLATRIX EXPLORATION LTD.,13,3700.0M,E 172.8M,MANNVILLE,1005.4M,0488817,04,N 36.6M,GAS,04-22-043-09W5,PRODUCTION,100/01-22-043-09W5/00,BELLATRIX UMNV WILLGR 1-22-43-9,2018,52.7146317762001,-115.2248686142
0488818,OBSIDIAN ENERGY LTD.,13,4650.0M,W 353.6M,CARDIUM,952.9M,0488818,04,N 327.6M,OIL,01-36-042-08W5,CRUDE,102/04-35-042-08W5/00,OBE HZ WILLGR 4-35-42-8,2018,52.6562289610001,-115.0116328544
0488819,OBSIDIAN ENERGY LTD.,13,4800.0M,W 353.7M,CARDIUM,953M,0488819,04,N 342.6M,OIL,01-36-042-08W5,CRUDE,102/05-35-042-08W5/00,OBE 102 HZ WILLGR 5-35-42-8,2018,52.6562289610001,-115.0116328544
0488820,OBSIDIAN ENERGY LTD.,13,4210.0M,W 353.8M,CARDIUM,952.9M,0488820,04,N 357.6M,OIL,01-36-042-08W5,CRUDE,103/12-35-042-08W5/00,OBE 103 HZ WILLGR 12-35-42-8,2018,52.6562289610001,-115.0116328544
