,COMP,DAY,DEPTH,EAST,FIELD,GL,LIC,MONTH,NORTH,PROD,SURF_LOC,TYPE,UWI,WELL,YEAR,LATT,LONGT
373396,VENTURION OIL LIMITED,3,2650.0M,600.2M E,LLOYDMINSTER,728.4M,373396,8,102/08-08-046-12W4/05 N,WATER,05-10-046-12W4,RESUMPTIONINJECTION,102/08-08-046-12W4/05,VEN OIL HZ 102 KILLAMN,2018,53.63787436,-116.1907224
373435,VENTURION OIL LIMITED,3,2700.0M,629.8M E,LLOYDMINSTER,726.2M,373435,8,100/08-08-046-12W4/05 N,OIL,05-10-046-12W4,CRUDE,100/08-08-046-12W4/05,VEN OIL HZ KILLAMN,2018,53.63787436,-116.1907224
373466,VENTURION OIL LIMITED,3,2650.0M,570.0M E,LLOYDMINSTER,728.3M,373466,8,104/01-08-046-12W4/04 N,OIL,05-10-046-12W4,CRUDE,104/01-08-046-12W4/04,VEN OIL HZ 104 KILLAMN,2018,53.63787436,-116.1907224
375949,VENTURION OIL LIMITED,3,2590.0M,665.1M W,LLOYDMINSTER,722.3M,375949,8,103/09-08-046-12W4/04 S,WATER,09-09-046-12W4,RESUMPTIONINJECTION,103/09-08-046-12W4/04,VEN OIL HZ 103 KILLAMN,2018,53.63787436,-116.1907224
449376,CONOCOPHILLIPS CANADA RESOURCES CORP.,3,1980.0M,81.2M E,MCMURRAY,571M,449376,8,104/01-33-083-06W4/02 N,BITUMEN,03-27-083-06W4,CRUDE,104/01-33-083-06W4/02,COPRC HZ2631I06STK RESDELN 1-33-83-6,2018,53.63787436,-116.1907224
490269,VELVET ENERGY LTD.,3,5250.0M,E 127.1M,MONTNEY,708M,490269,8,S 444.0M,OIL,12-01-068-03W6,CRUDE,100/16-10-068-03W6/00,VELVET HZ ELM 16-10-68-3,2018,53.63787436,-116.1907224
490270,ENTRADA RESOURCES INC.,3,4500.0M,W 592.0M,CARDIUM,989.3M,490270,8,S 618.0M,OIL,10-21-041-05W5,CRUDE,102/12-20-041-05W5/00,ENTRADA HZ 102 WILLGR 12-20-41-5,2018,53.63787436,-116.1907224
490271,PEYTO EXPLORATION & DEVELOPMENT CORP.,3,3800.0M,E 81.8M,CARDIUM,1074M,490271,8,S 250.6M,GAS,13-26-053-21W5,PRODUCTION,100/13-27-053-21W5/00,PEYTO ANSELL 13-27-53-21,2018,53.63787436,-116.1907224
490272,MODERN RESOURCES INC.,3,2653.6M,W 430.0M,CARDIUM,835.5M,490272,8,S 10.6M,OIL,15-29-067-08W6,CRUDE,100/02-29-067-08W6/00,MODERN HZ WAPITI 2-29-67-8,2018,53.63787436,-116.1907224
490273,MODERN RESOURCES INC.,3,2632.4M,W 430.0M,CARDIUM,835.5M,490273,8,S .6M,OIL,15-29-067-08W6,CRUDE,100/15-32-067-08W6/00,MODERN WAPITI 15-32-67-8,2018,53.63787436,-116.1907224
