,COMP,DAY,DEPTH,EAST,FIELD,GL,LIC,MONTH,NORTH,PROD,SURF_LOC,TYPE,UWI,WELL,YEAR,LATT,LONGT
0488137,SYNCRUDE CANADA LTD.,12,96.4M,427.6M E,MCMURRAY,342M,0488137,02,1AA/06-34-093-09W4/00 N,BITUMEN,06-34-093-09W4,CRUDE,1AA/06-34-093-09W4/00,SYNCRUDE ASR18ROCH008L 6-34-93-9,2018,57.1058958792001,-111.3631488966
0488138,SYNCRUDE CANADA LTD.,12,126.5M,427.8M W,MCMURRAY,354.2M,0488138,02,1AA/08-35-093-09W4/00 N,BITUMEN,08-35-093-09W4,CRUDE,1AA/08-35-093-09W4/00,SYNCRUDE ASR18ROCH009L 8-35-93-9,2018,57.1058844204001,-111.323075808
0488139,SYNCRUDE CANADA LTD.,12,125.2M,413.1M E,MCMURRAY,350.1M,0488139,02,1AA/06-35-093-09W4/00 N,BITUMEN,06-35-093-09W4,CRUDE,1AA/06-35-093-09W4/00,SYNCRUDE ASR18ROCH010L 6-35-93-9,2018,57.1058897544001,-111.3363232454
0488140,SYNCRUDE CANADA LTD.,12,61.9M,217.8M E,MCMURRAY,322.3M,0488140,02,1AA/04-36-093-10W4/00 N,BITUMEN,04-36-093-10W4,CRUDE,1AA/04-36-093-10W4/00,SYNCRUDE ASR18ROCH011L 4-36-93-10,2018,57.1059043132001,-111.4704537704
0488141,SYNCRUDE CANADA LTD.,12,53.1M,214.0M W,MCMURRAY,317M,0488141,02,1AA/02-35-093-10W4/00 N,BITUMEN,02-35-093-10W4,CRUDE,1AA/02-35-093-10W4/00,SYNCRUDE ASR18ROCH012L 2-35-93-10,2018,57.1059023060001,-111.484056222
0488142,SYNCRUDE CANADA LTD.,12,103.9M,102.9M W,MCMURRAY,343.9M,0488142,02,1AA/16-27-093-09W4/00 S,BITUMEN,16-27-093-09W4,CRUDE,1AA/16-27-093-09W4/00,SYNCRUDE ASR18ROCH014L 16-27-93-9,2018,57.0986684562001,-111.3499030924
0488143,SYNCRUDE CANADA LTD.,12,121.9M,92.7M E,MCMURRAY,348M,0488143,02,1AA/14-26-093-09W4/00 S,BITUMEN,14-26-093-09W4,CRUDE,1AA/14-26-093-09W4/00,SYNCRUDE ASR18ROCH015L 14-26-93-9,2018,57.0986645468001,-111.3363241138
0488144,SYNCRUDE CANADA LTD.,12,96.1M,236.3M E,MCMURRAY,335.1M,0488144,02,1AA/14-28-093-09W4/00 S,BITUMEN,14-28-093-09W4,CRUDE,1AA/14-28-093-09W4/00,SYNCRUDE ASR18ROCH016L 14-28-93-9,2018,57.0986711640001,-111.3899704604
0488145,SYNCRUDE CANADA LTD.,12,106.5M,434.4M E,MCMURRAY,339M,0488145,02,1AB/05-27-093-09W4/00 N,BITUMEN,05-27-093-09W4,CRUDE,1AB/05-27-093-09W4/00,SYNCRUDE ASR18ROCH041L 5-27-93-9,2018,57.0914998396,-111.3631514288
0488146,SYNCRUDE CANADA LTD.,12,51.3M,348.0M E,MCMURRAY,315.5M,0488146,02,1AA/03-26-093-10W4/00 N,BITUMEN,03-26-093-10W4,CRUDE,1AA/03-26-093-10W4/00,SYNCRUDE ASR18ROCH042L 3-26-93-10,2018,57.0914619156001,-111.4973042782
0488147,SYNCRUDE CANADA LTD.,12,106.4M,369.1M E,MCMURRAY,335.7M,0488147,02,1AA/03-28-093-09W4/00 N,BITUMEN,03-28-093-09W4,CRUDE,1AA/03-28-093-09W4/00,SYNCRUDE ASR18ROCH043L 3-28-93-9,2018,57.0915002714001,-111.3899728572
0488148,SYNCRUDE CANADA LTD.,12,45.3M,128.8M E,MCMURRAY,308.1M,0488148,02,1AA/13-23-093-10W4/00 S,BITUMEN,13-23-093-10W4,CRUDE,1AA/13-23-093-10W4/00,SYNCRUDE ASR18ROCH044L 13-23-93-10,2018,57.0840529570001,-111.4973008992
0488149,SYNCRUDE CANADA LTD.,12,59.5M,657.9M E,MCMURRAY,323M,0488149,02,1AA/05-25-093-10W4/00 N,BITUMEN,05-25-093-10W4,CRUDE,1AA/05-25-093-10W4/00,SYNCRUDE ASR18ROCH045L 5-25-93-10,2018,57.0914491830001,-111.4704604488
0488150,SYNCRUDE CANADA LTD.,12,125.4M,101.7M W,MCMURRAY,350.7M,0488150,02,1AA/15-23-093-09W4/00 S,BITUMEN,15-23-093-09W4,CRUDE,1AA/15-23-093-09W4/00,SYNCRUDE ASR18ROCH046L 15-23-93-9,2018,57.0840283226001,-111.3230781198
0488151,SYNCRUDE CANADA LTD.,12,61.8M,186.1M E,MCMURRAY,323.5M,0488151,02,1AA/13-24-093-10W4/00 S,BITUMEN,13-24-093-10W4,CRUDE,1AA/13-24-093-10W4/00,SYNCRUDE ASR18ROCH047L 13-24-93-10,2018,57.0840409166001,-111.4704609338
0488152,SYNCRUDE CANADA LTD.,12,67.3M,182.9M E,MCMURRAY,326.6M,0488152,02,1AA/14-24-093-10W4/00 S,BITUMEN,14-24-093-10W4,CRUDE,1AA/14-24-093-10W4/00,SYNCRUDE ASR18ROCH048L 14-24-93-10,2018,57.0840409166001,-111.4704609338
0488153,SYNCRUDE CANADA LTD.,12,73.8M,173.5M E,MCMURRAY,331.7M,0488153,02,1AA/14-19-093-09W4/00 S,BITUMEN,14-19-093-09W4,CRUDE,1AA/14-19-093-09W4/00,SYNCRUDE ASR18ROCH049L 14-19-93-9,2018,57.0840389326001,-111.4436124298
0488154,SYNCRUDE CANADA LTD.,12,105.4M,153.9M E,MCMURRAY,336.8M,0488154,02,1AA/13-21-093-09W4/00 S,BITUMEN,13-21-093-09W4,CRUDE,1AA/13-21-093-09W4/00,SYNCRUDE ASR18ROCH050L 13-21-93-9,2018,57.0840403226001,-111.389974693
0488155,SYNCRUDE CANADA LTD.,12,112.2M,151.0M W,MCMURRAY,336.8M,0488155,02,1AA/15-21-093-09W4/00 S,BITUMEN,15-21-093-09W4,CRUDE,1AA/15-21-093-09W4/00,SYNCRUDE ASR18ROCH051L 15-21-93-9,2018,57.0840408192001,-111.376731123
0488156,SYNCRUDE CANADA LTD.,12,142.1M,133.4M W,MCMURRAY,361.6M,0488156,02,1AA/15-24-093-09W4/00 S,BITUMEN,15-24-093-09W4,CRUDE,1AA/15-24-093-09W4/00,SYNCRUDE ASR18ROCH052L 15-24-93-9,2018,57.0840153094001,-111.2962509454
0488157,SYNCRUDE CANADA LTD.,12,77.6M,186.6M E,MCMURRAY,339M,0488157,02,1AA/13-20-093-09W4/00 S,BITUMEN,13-20-093-09W4,CRUDE,1AA/13-20-093-09W4/00,SYNCRUDE ASR18ROCH053L 13-20-93-9,2018,57.0840348904001,-111.4167938968
0488158,SYNCRUDE CANADA LTD.,12,89.2M,187.5M W,MCMURRAY,338.8M,0488158,02,1AB/16-20-093-09W4/00 S,BITUMEN,16-20-093-09W4,CRUDE,1AB/16-20-093-09W4/00,SYNCRUDE ASR18ROCH054L 16-20-93-9,2018,57.084038346,-111.4035507138
0488159,SYNCRUDE CANADA LTD.,12,85.4M,200.6M E,MCMURRAY,339.7M,0488159,02,1AA/14-20-093-09W4/00 S,BITUMEN,14-20-093-09W4,CRUDE,1AA/14-20-093-09W4/00,SYNCRUDE ASR18ROCH055L 14-20-93-9,2018,57.0840348904001,-111.4167938968
0488160,SYNCRUDE CANADA LTD.,12,76.5M,227.1M W,MCMURRAY,330.3M,0488160,02,1AA/16-24-093-10W4/00 S,BITUMEN,16-24-093-10W4,CRUDE,1AA/16-24-093-10W4/00,SYNCRUDE ASR18ROCH056L 16-24-93-10,2018,57.0840429716001,-111.4571932474
0488161,SYNCRUDE CANADA LTD.,12,82.8M,113.4M W,MCMURRAY,337.2M,0488161,02,1AA/15-05-093-09W4/00 S,BITUMEN,15-05-093-09W4,CRUDE,1AA/15-05-093-09W4/00,SYNCRUDE ASR18ROCH136L 15-5-93-9,2018,57.0405044390001,-111.403558205
0488162,SYNCRUDE CANADA LTD.,12,93.4M,199.2M E,MCMURRAY,341.2M,0488162,02,1AA/13-04-093-09W4/00 S,BITUMEN,13-04-093-09W4,CRUDE,1AA/13-04-093-09W4/00,SYNCRUDE ASR18ROCH137L 13-4-93-9,2018,57.0405066890001,-111.3899795796
0488163,SYNCRUDE CANADA LTD.,12,97.2M,100.2M E,MCMURRAY,343.5M,0488163,02,1AA/14-04-093-09W4/00 S,BITUMEN,14-04-093-09W4,CRUDE,1AA/14-04-093-09W4/00,SYNCRUDE ASR18ROCH138L 14-4-93-9,2018,57.0405066890001,-111.3899795796
0488164,SYNCRUDE CANADA LTD.,12,89.5M,234.7M W,MCMURRAY,339.4M,0488164,02,1AA/16-05-093-09W4/00 S,BITUMEN,16-05-093-09W4,CRUDE,1AA/16-05-093-09W4/00,SYNCRUDE ASR18ROCH139L 16-5-93-9,2018,57.0405044390001,-111.403558205
0488165,SYNCRUDE CANADA LTD.,12,78.8M,617.4M E,MCMURRAY,332.4M,0488165,02,1AB/12-05-093-09W4/00 S,BITUMEN,12-05-093-09W4,CRUDE,1AB/12-05-093-09W4/00,SYNCRUDE ASR18ROCH142L 12-5-93-9,2018,57.0405007476001,-111.41680512
0488166,SYNCRUDE CANADA LTD.,12,96.0M,719.4M W,MCMURRAY,339.6M,0488166,02,1AA/09-05-093-09W4/00 S,BITUMEN,09-05-093-09W4,CRUDE,1AA/09-05-093-09W4/00,SYNCRUDE ASR18ROCH143L 9-5-93-9,2018,57.0405044390001,-111.403558205
0488167,SYNCRUDE CANADA LTD.,12,65.9M,599.7M W,MCMURRAY,318.3M,0488167,02,1AA/08-01-093-10W4/00 N,BITUMEN,08-01-093-10W4,CRUDE,1AA/08-01-093-10W4/00,SYNCRUDE ASR18ROCH144L 8-1-93-10,2018,57.0332585394,-111.4572143374
0488168,SYNCRUDE CANADA LTD.,12,85.2M,498.5M W,MCMURRAY,326.2M,0488168,02,1AA/08-06-093-09W4/00 N,BITUMEN,08-06-093-09W4,CRUDE,1AA/08-06-093-09W4/00,SYNCRUDE ASR18ROCH146L 8-6-93-9,2018,57.0332698594001,-111.4303858386
0488169,SYNCRUDE CANADA LTD.,12,88.4M,491.2M E,MCMURRAY,331.1M,0488169,02,1AA/05-05-093-09W4/00 N,BITUMEN,05-05-093-09W4,CRUDE,1AA/05-05-093-09W4/00,SYNCRUDE ASR18ROCH147L 5-5-93-9,2018,57.0332751622001,-111.4168066666
