,COMP,DAY,DEPTH,EAST,FIELD,GL,LIC,MONTH,NORTH,PROD,SURF_LOC,TYPE,UWI,WELL,YEAR,LATT,LONGT
0488037,SUNCOR ENERGY INC.,08,1780.0M,60.1M E,MCMURRAY,593.1M,0488037,02,100/04-35-094-06W4/00 S,BITUMEN,13-27-094-06W4,CRUDE,100/04-35-094-06W4/00,SUNCOR P122P1 FIREBAG 4-35-94-6,2018,57.1858917332001,-110.8802871792
0488038,CANADIAN NATURAL RESOURCES LIMITED,08,717.0M,381.9M W,DINA,597.6M,0488038,02,100/09-25-055-07W4/00 S,BITUMEN,15-25-055-07W4,CRUDE,100/09-25-055-07W4/00,CNRL 9B ST. PAUL,2018,53.7820721116,-110.8986347828
0488039,CANADIAN NATURAL RESOURCES LIMITED,08,614.0M,380.9M W,DINA,597.6M,0488039,02,102/15-25-055-07W4/00 S,BITUMEN,15-25-055-07W4,CRUDE,102/15-25-055-07W4/00,CNRL 15B ST. PAUL,2018,53.7820721116,-110.8986347828
0488040,CANADIAN NATURAL RESOURCES LIMITED,08,598.0M,556.1M W,LLOYDMINSTER,578.9M,0488040,02,100/12-33-063-04W4/00 S,BITUMEN,09-32-063-04W4,CRUDE,100/12-33-063-04W4/00,CNRL 12D COLD LK 12-33-63-4,2018,54.4947515626,-110.562976904
0488041,SYNCRUDE CANADA LTD.,08,93.9M,551.0M E,MCMURRAY,335.4M,0488041,02,1AA/06-33-093-09W4/00 N,BITUMEN,06-33-093-09W4,CRUDE,1AA/06-33-093-09W4/00,SYNCRUDE ASR18ROCH005L 6-33-93-9,2018,57.1058962258001,-111.3899680608
0488042,SYNCRUDE CANADA LTD.,08,79.3M,36.2M W,MCMURRAY,337.6M,0488042,02,1AA/16-30-093-09W4/00 S,BITUMEN,16-30-093-09W4,CRUDE,1AA/16-30-093-09W4/00,SYNCRUDE ASR18ROCH013L 16-30-93-9,2018,57.0986640206001,-111.4303604862
0488043,SYNCRUDE CANADA LTD.,08,100.6M,183.4M E,MCMURRAY,340.6M,0488043,02,1AA/14-27-093-09W4/00 S,BITUMEN,14-27-093-09W4,CRUDE,1AA/14-27-093-09W4/00,SYNCRUDE ASR18ROCH017L 14-27-93-9,2018,57.0986707728001,-111.3631501736
0488044,SYNCRUDE CANADA LTD.,08,48.0M,780.7M E,MCMURRAY,312.4M,0488044,02,1AA/05-26-093-10W4/00 N,BITUMEN,05-26-093-10W4,CRUDE,1AA/05-26-093-10W4/00,SYNCRUDE ASR18ROCH029L 5-26-93-10,2018,57.0914619156001,-111.4973042782
0488045,SYNCRUDE CANADA LTD.,08,125.5M,190.1M W,MCMURRAY,343.7M,0488045,02,1AA/15-22-093-09W4/00 S,BITUMEN,15-22-093-09W4,CRUDE,1AA/15-22-093-09W4/00,SYNCRUDE ASR18ROCH060L 15-22-93-9,2018,57.0840375316001,-111.349905059
0488046,SYNCRUDE CANADA LTD.,08,53.1M,385.4M W,MCMURRAY,313.9M,0488046,02,1AA/15-23-093-10W4/00 S,BITUMEN,15-23-093-10W4,CRUDE,1AA/15-23-093-10W4/00,SYNCRUDE ASR18ROCH064L 15-23-93-10,2018,57.0840407840001,-111.4840565086
0488047,SYNCRUDE CANADA LTD.,08,134.2M,674.6M E,MCMURRAY,350.2M,0488047,02,1AA/06-23-093-09W4/00 N,BITUMEN,06-23-093-09W4,CRUDE,1AA/06-23-093-09W4/00,SYNCRUDE ASR18ROCH072L 6-23-93-9,2018,57.0768083734001,-111.3363261122
0488048,SYNCRUDE CANADA LTD.,08,83.6M,646.6M E,MCMURRAY,339.7M,0488048,02,1AA/06-20-093-09W4/00 N,BITUMEN,06-20-093-09W4,CRUDE,1AA/06-20-093-09W4/00,SYNCRUDE ASR18ROCH073L 6-20-93-9,2018,57.0768094776001,-111.4167964906
