,COMP,DAY,DEPTH,EAST,FIELD,GL,LIC,MONTH,NORTH,PROD,SURF_LOC,TYPE,UWI,WELL,YEAR,LATT,LONGT
0488237,DEVON CANADA CORPORATION,13,1916.0M,350.4M E,SPARKY,653.4M,0488237,02,103/05-35-048-01W4/00 N,OIL,04-02-049-01W4,CRUDE,103/05-35-048-01W4/00,DEVON 5A2 HZ LLOYD 5-35-48-1,2018,53.1922413868001,-110.0444651056
0488238,DEVON CANADA CORPORATION,13,1960.0M,350.4M E,SPARKY,652.6M,0488238,02,100/05-35-048-01W4/00 N,OIL,04-02-049-01W4,CRUDE,100/05-35-048-01W4/00,DEVON 5B HZ LLOYD 5-35-48-1,2018,53.1922413868001,-110.0444651056
0488239,DEVON CANADA CORPORATION,13,1609.0M,738.0M E,SPARKY,652.3M,0488239,02,102/09-35-048-01W4/00 S,OIL,12-35-048-01W4,CRUDE,102/09-35-048-01W4/00,DEVON 9B HZ LLOYD 9-35-48-1,2018,53.1848337898001,-110.0444516458
0488240,DEVON CANADA CORPORATION,13,1585.0M,728.0M E,SPARKY,652.2M,0488240,02,100/09-35-048-01W4/00 S,OIL,12-35-048-01W4,CRUDE,100/09-35-048-01W4/00,DEVON 9C HZ LLOYD 9-35-48-1,2018,53.1848337898001,-110.0444516458
0488304,HUSKY OIL OPERATIONS LIMITED,15,1189.0M,58.5M E,MCMURRAY,453.3M,0488304,02,112/12-17-095-07W4/00 S,BITUMEN,13-08-095-07W4,CRUDE,112/12-17-095-07W4/00,HUSKY B 13-8 P3A STEEPBK 12-17-95-7,2018,57.2295528080001,-111.1061937992
0488305,CENOVUS ENERGY INC.,15,640.7M,W 194.4M,CLEARWATER,741.6M,0488305,02,N 690.9M,BITUMEN,08-10-075-02W5,CRUDE,100/08-10-075-02W5/00,CVE 8-10 D8 MARTENH 8-10-75-2,2018,55.4772176468,-114.2111142922
0488306,BONTERRA ENERGY CORP.,15,4160.0M,E 200.0M,CARDIUM,928.8M,0488306,02,S 161.0M,OIL,13-20-046-07W5,CRUDE,102/08-31-046-07W5/00,BONTERRA 102 HZ PEMBINA 8-31-46-7,2018,52.9844653774001,-114.9825929128
0488307,BONTERRA ENERGY CORP.,15,4300.0M,E 200.0M,CARDIUM,928.8M,0488307,02,S 171.0M,OIL,13-20-046-07W5,CRUDE,100/07-31-046-07W5/00,BONTERRA HZ PEMBINA 7-31-46-7,2018,52.9844653774001,-114.9825929128
0488308,PEYTO EXPLORATION & DEVELOPMENT CORP.,15,4320.0M,E 435.6M,WILRICH,1107.2M,0488308,02,S 269.8M,GAS,14-18-049-15W5,PRODUCTION,100/13-19-049-15W5/00,PEYTO WHHORSE 13-19-49-15,2018,53.2309536600001,-116.185770063
0488309,HAMMERHEAD RESOURCES INC.,15,2078.0M,E 495.4M,CADOTTE,778.2M,0488309,02,N 394.0M,WATER,03-22-066-03W6,INJECTION,100/07-22-066-03W6/00,HHR KARR 7-22-66-3,2018,54.7219409134001,-118.3677770422
0488310,CANAMAX ENERGY LTD.,15,2500.0M,W 358.0M,MONTNEY,612.2M,0488310,02,S 371.9M,OIL,16-21-083-23W5,CRUDE,102/16-28-083-23W5/00,CANAMAX HZ 102 GRIMSHAW 16-28-83-23,2018,56.2132988760001,-117.560503259
0488311,PIPESTONE OIL CORP.,15,5100.0M,W 573.9M,MONTNEY,683.2M,0488311,02,S 101.3M,GAS,15-14-070-08W6,PRODUCTION,100/14-22-070-08W6/00,PIPESTONE HZ ELM 14-22-70-8,2018,55.0637594750001,-119.0967153152
0488312,PIPESTONE OIL CORP.,15,5200.0M,W 593.9M,MONTNEY,684M,0488312,02,S 101.3M,GAS,15-14-070-08W6,PRODUCTION,103/13-22-070-08W6/00,PIPESTONE 103 HZ ELM 13-22-70-8,2018,55.0637594750001,-119.0967153152
0488313,PIPESTONE OIL CORP.,15,5300.0M,W 613.9M,MONTNEY,684.3M,0488313,02,S 101.3M,GAS,15-14-070-08W6,PRODUCTION,102/12-22-070-08W6/00,PIPESTONE 102 HZ ELM 12-22-70-8,2018,55.0637594750001,-119.0967153152
0488314,WHITECAP RESOURCES INC.,15,3446.0M,W 730.6M,CARDIUM,937.5M,0488314,02,S 60.4M,OIL,15-22-049-11W5,CRUDE,100/15-21-049-11W5/00,WHITECAP PEMBINA 15-21-49-11,2018,53.2455033996,-115.5155969406
0488315,CANADIAN NATURAL RESOURCES LIMITED,15,1927.0M,649.7M E,PRECAMBRIAN,637.3M,0488315,02,100/14-06-066-05W4/00 N,WATER,05-08-066-05W4,INJECTION,100/14-06-066-05W4/00,CNRL WL-WDW006 LEMING 14-6-66-5,2018,54.6911207844,-110.7266708046
0488316,PEYTO EXPLORATION & DEVELOPMENT CORP.,15,4200.0M,E 209.8M,WILRICH,1091.3M,0488316,02,S 48.6M,GAS,13-26-054-21W5,PRODUCTION,100/13-35-054-21W5/00,PEYTO SUNDANCE 13-35-54-21,2018,53.6960795944001,-116.9885533294
0488317,TORXEN ENERGY LTD.,16,2700.0M,E 100.0M,ELLERSLIE,743.2M,0488317,02,S 243.6M,OIL,13-14-015-13W4,CRUDE,100/13-13-015-13W4/00,TXNE 13B-14 HZ ALDSON,2018,50.2605536128,-111.6909475518
0488318,TORXEN ENERGY LTD.,16,3000.0M,E 70.0M,ELLERSLIE,743.1M,0488318,02,S 243.4M,OIL,13-14-015-13W4,CRUDE,102/16-16-015-13W4/00,TXNE 13B-14 HZ102 ALDSON,2018,50.2605536128,-111.6909475518
