,COMP,DAY,DEPTH,EAST,FIELD,GL,LIC,MONTH,NORTH,PROD,SURF_LOC,TYPE,UWI,WELL,YEAR,LATT,LONGT
0487837,PREDATOR OIL LTD.,25,2576.0M,E 161.1M,RIVER,530.6M,0487837,01,S 104.0M,OIL,13-18-095-04W5,CRUDE,100/03-18-095-04W5/00,PRED PANNY 3-18-95-4,2018,57.2444263026001,-114.6407894036
0081957,TIDEWATER MIDSTREAM AND INFRASTRUCTURE LTD.,26,3460.0M,E 259.8M,NISKU,1055.4M,0081957,01,N 285.6M,GAS,04-08-048-13W5,RESUMPTIONPRODUCTION,100/04-08-048-13W5/02,TIDEWATER BRAZR 4-8-48-13,2018,53.1218235716001,-115.8689304934
0487838,BONTERRA ENERGY CORP.,26,3210.0M,E 260.0M,CARDIUM,854.3M,0487838,01,S 290.0M,OIL,13-34-047-05W5,CRUDE,100/12-33-047-05W5/00,BONTERRA HZ PEMBINA 12-33-47-5,2018,53.0992488730001,-114.6500101758
0487839,BONTERRA ENERGY CORP.,26,3200.0M,E 260.0M,CARDIUM,854.3M,0487839,01,S 280.0M,OIL,13-34-047-05W5,CRUDE,100/13-33-047-05W5/00,BONTERRA HZ PEMBINA 13-33-47-5,2018,53.0992488730001,-114.6500101758
0487840,BONAVISTA ENERGY CORPORATION,26,4858.3M,E 181.9M,NOTIKEWIN,984.2M,0487840,01,N 350.4M,GAS,04-09-053-19W5,PRODUCTION,102/13-08-053-19W5/00,BEC HZ EDSON 13-8-53-19,2018,53.5571920842001,-116.7431568104
0487841,ANEGADA OIL CORP.,26,3330.0M,W 296.3M,LAKE,795.3M,0487841,01,S 60.0M,OIL,16-12-075-10W6,CRUDE,100/16-13-075-10W6/00,ANEGADA HZ 16D VALHALLA 16-13-75-10,2018,55.4852656198001,-119.3992240926
0487842,VELVET ENERGY LTD.,26,3500.0M,E 659.1M,CADOTTE,678.8M,0487842,01,S 660.9M,OIL,11-05-069-02W6,CRUDE,100/11-04-069-02W6/00,VELVET HZ BEZAN 11-4-69-2,2018,54.9473925328001,-118.2697426094
0487843,ARTIS EXPLORATION LTD.,26,5000.0M,W 122.5M,DUVERNAY,893.8M,0487843,01,N 441.6M,OIL,08-24-031-25W4,CRUDE,103/16-25-031-25W4/00,ARTIS 102 TWINING 16-25-31-25,2018,51.6648230348,-113.4090009484
0487844,ARTIS EXPLORATION LTD.,26,5000.0M,W 107.5M,DUVERNAY,893.8M,0487844,01,N 441.6M,OIL,08-24-031-25W4,CRUDE,104/16-25-031-25W4/00,ARTIS 103 HZ TWINING 16-25-31-25,2018,51.6648230348,-113.4090009484
0487845,ARTIS EXPLORATION LTD.,26,5000.0M,W 92.5M,DUVERNAY,893.8M,0487845,01,N 441.7M,OIL,08-24-031-25W4,CRUDE,100/13-30-031-24W4/00,ARTIS HZ TWINING 13-30-31-24,2018,51.6648230348,-113.4090009484
