,COMP,DAY,DEPTH,EAST,FIELD,GL,LIC,MONTH,NORTH,PROD,SURF_LOC,TYPE,UWI,WELL,YEAR,LATT,LONGT
0489377,BAYTEX ENERGY LTD.,01,2200.0M,175.0M W,SPARKY,606.7M,0489377,06,103/15-34-062-09W4/00 S,BITUMEN,15-27-062-09W4,CRUDE,103/15-34-062-09W4/00,BAYTEX 15D HZ MANN LK 15-34-62-9,2018,54.3931024844,-111.255942292
0489378,BAYTEX ENERGY LTD.,01,2200.0M,175.0M W,SPARKY,606.6M,0489378,06,102/15-34-062-09W4/00 S,BITUMEN,15-27-062-09W4,CRUDE,102/15-34-062-09W4/00,BAYTEX 15D2 HZ MANN LK 15-34-62-9,2018,54.3931024844,-111.255942292
0489379,BAYTEX ENERGY LTD.,01,2200.0M,175.0M W,SPARKY,606.5M,0489379,06,102/16-34-062-09W4/00 S,BITUMEN,15-27-062-09W4,CRUDE,102/16-34-062-09W4/00,BAYTEX 16C HZ MANN LK 16-34-62-9,2018,54.3931024844,-111.255942292
0489380,BAYTEX ENERGY LTD.,01,2200.0M,210.0M W,SPARKY,603M,0489380,06,100/15-33-062-09W4/00 S,BITUMEN,15-28-062-09W4,CRUDE,100/15-33-062-09W4/00,BAYTEX 15C HZ MANN LK 15-33-62-9,2018,54.3930325988001,-111.2809911726
0489381,BAYTEX ENERGY LTD.,01,2200.0M,210.0M W,SPARKY,602.9M,0489381,06,102/15-33-062-09W4/00 S,BITUMEN,15-28-062-09W4,CRUDE,102/15-33-062-09W4/00,BAYTEX 15C2 HZ MANN LK 15-33-62-9,2018,54.3930325988001,-111.2809911726
0489382,BAYTEX ENERGY LTD.,01,2200.0M,210.0M W,SPARKY,603M,0489382,06,103/15-33-062-09W4/00 S,BITUMEN,15-28-062-09W4,CRUDE,103/15-33-062-09W4/00,BAYTEX 15D HZ MANN LK 15-33-62-9,2018,54.3930325988001,-111.2809911726
0489383,BAYTEX ENERGY LTD.,01,2200.0M,210.0M W,SPARKY,603.2M,0489383,06,104/15-33-062-09W4/00 S,BITUMEN,15-28-062-09W4,CRUDE,104/15-33-062-09W4/00,BAYTEX 15D2 HZ MANN LK 15-33-62-9,2018,54.3930325988001,-111.2809911726
0489384,BAYTEX ENERGY LTD.,01,2200.0M,210.0M W,SPARKY,603.4M,0489384,06,106/16-33-062-09W4/00 S,BITUMEN,15-28-062-09W4,CRUDE,106/16-33-062-09W4/00,BAYTEX 16C MANN LK 16-33-62-9,2018,54.3930325988001,-111.2809911726
0489385,BAYTEX ENERGY LTD.,01,2200.0M,210.0M W,SPARKY,603.4M,0489385,06,107/16-33-062-09W4/00 S,BITUMEN,15-28-062-09W4,CRUDE,107/16-33-062-09W4/00,BAYTEX 16C2 HZ MANN LK 16-33-62-9,2018,54.3930325988001,-111.2809911726
0489386,CHEVRON CANADA LIMITED,01,6110.0M,W 1617.6M,DUVERNAY,848.8M,0489386,06,N 779.1M,GAS,05-20-062-19W5,PRODUCTION,100/01-17-062-19W5/00,CHEVRON HZ KAYBOBS 1-17-62-19,2018,54.3726278536001,-116.8163596324
