,COMP,DAY,DEPTH,EAST,FIELD,GL,LIC,MONTH,NORTH,PROD,SURF_LOC,TYPE,UWI,WELL,YEAR,LATT,LONGT
0489362,BAYTEX ENERGY LTD.,01,2500.0M,W 300.8M,BLUESKY,640.8M,0489362,06,S 181.8M,BITUMEN,16-04-085-15W5,CRUDE,100/01-04-085-15W5/00,BAYTEX HZ SLAVE 1-4-85-15,2018,56.3432566106001,-116.2967976578
0489363,BAYTEX ENERGY LTD.,01,2500.0M,W 317.2M,BLUESKY,640.6M,0489363,06,S 193.2M,BITUMEN,16-04-085-15W5,CRUDE,100/02-16-085-15W5/00,BAYTEX HZ SLAVE 2-16-85-15,2018,56.3432566106001,-116.2967976578
0489364,DEVON CANADA CORPORATION,01,2300.0M,115.0M W,SPARKY,580.7M,0489364,06,104/02-29-063-06W4/00 N,BITUMEN,02-31-063-06W4,CRUDE,104/02-29-063-06W4/00,DEVON 2B3 HZ WOLF LK 2-29-63-6,2018,54.4875144906,-110.890545166
0489365,DEVON CANADA CORPORATION,01,1880.0M,80.0M W,SPARKY,580.7M,0489365,06,100/06-29-063-06W4/00 N,BITUMEN,02-31-063-06W4,CRUDE,100/06-29-063-06W4/00,DEVON 6A HZ WOLF LK 6-29-63-6,2018,54.4875144906,-110.890545166
0489366,DEVON CANADA CORPORATION,01,1740.0M,100.0M W,SPARKY,580.6M,0489366,06,100/11-29-063-06W4/00 N,BITUMEN,02-31-063-06W4,CRUDE,100/11-29-063-06W4/00,DEVON 11A HZ WOLF LK 11-29-63-6,2018,54.4875144906,-110.890545166
0489367,DEVON CANADA CORPORATION,01,1600.0M,105.0M W,SPARKY,580.6M,0489367,06,102/15-31-063-06W4/00 N,BITUMEN,02-31-063-06W4,CRUDE,102/15-31-063-06W4/00,DEVON 15C2 HZ WOLF LK 15-31-63-6,2018,54.4875144906,-110.890545166
0489368,DEVON CANADA CORPORATION,01,1730.0M,105.0M W,SPARKY,580.7M,0489368,06,103/15-31-063-06W4/00 N,BITUMEN,02-31-063-06W4,CRUDE,103/15-31-063-06W4/00,DEVON 15D HZ WOLF LK 15-31-63-6,2018,54.4875144906,-110.890545166
0489369,DEVON CANADA CORPORATION,01,1856.0M,129.9M W,COLONY,556.1M,0489369,06,100/01-34-063-05W4/00 N,BITUMEN,01-33-063-05W4,CRUDE,100/01-34-063-05W4/00,DEVON 1A HZ WOLF LK 1-34-63-5,2018,54.4874924062001,-110.6891111596
0489370,DEVON CANADA CORPORATION,01,1600.0M,104.9M W,COLONY,556.1M,0489370,06,103/10-27-063-05W4/00 N,BITUMEN,01-33-063-05W4,CRUDE,103/10-27-063-05W4/00,DEVON 10D HZ WOLF LK 10-27-63-5,2018,54.4874924062001,-110.6891111596
0489371,ROCKEAST ENERGY CORP.,01,1343.6M,321.3M E,CUMMINGS,676.2M,0489371,06,102/02-21-041-03W4/00 N,OIL,04-21-041-03W4,CRUDE,102/02-21-041-03W4/00,ROCKEAST HZ 100 PROVOST,2018,52.5373821532001,-110.3792653162
0489372,ROCKEAST ENERGY CORP.,01,1347.8M,309.3M E,CUMMINGS,676.4M,0489372,06,103/02-21-041-03W4/00 N,OIL,04-21-041-03W4,CRUDE,103/02-21-041-03W4/00,ROCKEAST HZ 102 PROVOST,2018,52.5373821532001,-110.3792653162
0489373,ROCKEAST ENERGY CORP.,01,1609.0M,297.3M E,CUMMINGS,676.6M,0489373,06,104/02-21-041-03W4/00 N,OIL,04-21-041-03W4,CRUDE,104/02-21-041-03W4/00,ROCKEAST HZ 103 PROVOST,2018,52.5373821532001,-110.3792653162
0489374,ROCKEAST ENERGY CORP.,01,1608.4M,333.3M E,CUMMINGS,676M,0489374,06,105/02-21-041-03W4/00 N,OIL,04-21-041-03W4,CRUDE,105/02-21-041-03W4/00,ROCKEAST HZ 104 PROVOST,2018,52.5373821532001,-110.3792653162
0489375,CENOVUS FCCL LTD.,01,1555.0M,796.2M E,MCMURRAY,668.8M,0489375,06,108/15-16-070-04W4/00 S,BITUMEN,12-15-070-04W4,CRUDE,108/15-16-070-04W4/00,CVE FCCL NP01-1 FISHER 15-16-70-4,2018,55.0620317262001,-110.5292443238
0489376,BAYTEX ENERGY LTD.,01,2200.0M,175.0M W,SPARKY,606.7M,0489376,06,104/15-34-062-09W4/00 S,BITUMEN,15-27-062-09W4,CRUDE,104/15-34-062-09W4/00,BAYTEX 15C2 HZ MANN LK 15-34-62-9,2018,54.3931024844,-111.255942292
