,COMP,DAY,DEPTH,EAST,FIELD,GL,LIC,MONTH,NORTH,PROD,SURF_LOC,TYPE,UWI,WELL,YEAR,LATT,LONGT
0489684,WEST LAKE ENERGY CORP.,21,2269.0M,157.5M E,REX,618.2M,0489684,06,100/04-24-052-07W4/00 N,OIL,04-25-052-07W4,CRUDE,100/04-24-052-07W4/00,WLEC MHZ 1A4 SWIMMING 4-24-52-7,2018,53.5131737284,-110.9057740154
0489685,NEXEN ENERGY ULC,21,1439.0M,444.2M W,MCMURRAY,487.2M,0489685,06,120/07-36-085-07W4/00 S,BITUMEN,09-25-085-07W4,CRUDE,120/07-36-085-07W4/00,NEU CNOOC 06P01 INF NEWBY 7-36-85-7,2018,56.4005050510001,-110.9568386906
0489686,NEXEN ENERGY ULC,21,1352.0M,444.2M W,MCMURRAY,487.2M,0489686,06,118/08-36-085-07W4/00 S,BITUMEN,09-25-085-07W4,CRUDE,118/08-36-085-07W4/00,NEU CNOOC 06P02 INF NEWBY 8-36-85-7,2018,56.4005050510001,-110.9568386906
0489687,NEXEN ENERGY ULC,21,1460.0M,444.2M W,MCMURRAY,487.2M,0489687,06,103/05-31-085-06W4/00 S,BITUMEN,09-25-085-07W4,CRUDE,103/05-31-085-06W4/00,NEU CNOOC 06P05 INF NEWBY 5-31-85-6,2018,56.4005050510001,-110.9568386906
0489688,NEXEN ENERGY ULC,21,1418.0M,444.2M W,MCMURRAY,487.2M,0489688,06,105/13-25-085-07W4/00 S,BITUMEN,09-25-085-07W4,CRUDE,105/13-25-085-07W4/00,NEU CNOOC 06P06 INF NEWBY 13-25-85-7,2018,56.4005050510001,-110.9568386906
0489689,NEXEN ENERGY ULC,21,1399.0M,444.2M W,MCMURRAY,487.2M,0489689,06,106/13-25-085-07W4/00 S,BITUMEN,09-25-085-07W4,CRUDE,106/13-25-085-07W4/00,NEU CNOOC 06P07 INF NEWBY 13-25-85-7,2018,56.4005050510001,-110.9568386906
0489690,DEVON CANADA CORPORATION,21,543.0M,264.9M E,WOODBEND,647.8M,0489690,06,1AB/04-31-075-07W4/00 N,BITUMEN,04-31-075-07W4,CRUDE,1AB/04-31-075-07W4/00,DEVON 4B CONKLIN 4-31-75-7,2018,55.5350492206,-111.0821724766
0489691,DEVON CANADA CORPORATION,21,559.0M,276.9M W,WOODBEND,631M,0489691,06,1AA/01-34-075-07W4/00 N,BITUMEN,01-34-075-07W4,CRUDE,1AA/01-34-075-07W4/00,DEVON 1B CONKLIN 1-34-75-7,2018,55.5350600454001,-110.9917418324
0489692,TORXEN ENERGY LTD.,22,1073.6M,E 40.0M,MANNVILLE,741.7M,0489692,06,N 54.2M,OIL,04-14-015-13W4,CRUDE,102/13-11-015-13W4/00,TXNE 4B-14 DV ALDSON,2018,50.2533348036001,-111.6909981538
0489693,HEMISPHERE ENERGY CORPORATION,22,1600.0M,E 533.5M,MANNVILLE,717.6M,0489693,06,S 778.6M,OIL,11-20-021-05W4,CRUDE,104/04-20-021-05W4/00,HEMISPHERE 11B-20 ATL-BUFF 4-20-21-5,2018,50.7991433772,-110.6647316208
