,COMP,DAY,DEPTH,EAST,FIELD,GL,LIC,MONTH,NORTH,PROD,SURF_LOC,TYPE,UWI,WELL,YEAR,LATT,LONGT
0488415,YANGARRA RESOURCES CORP.,01,4032.6M,W 180.0M,CARDIUM,1051.8M,0488415,03,N 299.9M,OIL,01-36-039-09W5,CRUDE,100/04-30-039-08W5/00,YANGARRA HZ FERRIER 4-30-39-8,2018,52.3944161834,-115.1552905538
0488416,JUPITER RESOURCES INC.,01,6028.0M,W 335.1M,RIVER,1280.6M,0488416,03,S 613.7M,GAS,09-26-059-02W6,PRODUCTION,100/14-19-059-01W6/00,JUPITER HZ RESTHA 14-19-59-1,2018,54.1326954804001,-118.1777435492
0488417,JUPITER RESOURCES INC.,01,6028.0M,W 339.0M,RIVER,1280.8M,0488417,03,S 606.8M,GAS,09-26-059-02W6,PRODUCTION,100/15-34-059-02W6/00,JUPITER HZ RESTHA 15-34-59-2,2018,54.1326954804001,-118.1777435492
0488418,TRIPLE FIVE INTERCONTINENTAL GROUP LTD.,01,6000.0M,E 344.8M,RIVER,1008.6M,0488418,03,S 58.2M,GAS,13-18-043-09W5,PRODUCTION,100/04-07-043-09W5/00,T5 ENERGY FERRIER,2018,52.7073907638001,-115.2973975758
0488419,VESTA ENERGY LTD.,01,6200.0M,W 556.9M,DUVERNAY,906.4M,0488419,03,S 712.6M,OIL,10-02-041-28W4,CRUDE,100/11-14-041-28W4/00,VESTA MORNSIDE 11-14-41-28,2018,52.5011838852001,-113.9177949302
0488420,VESTA ENERGY LTD.,01,6000.0M,W 125.5M,DUVERNAY,869.9M,0488420,03,S 568.7M,OIL,09-09-040-27W4,CRUDE,102/16-02-040-27W4/00,VESTA JOFFRE 16-2-40-27,2018,52.4288693930001,-113.8222631088
0488421,NUVISTA ENERGY LTD.,01,6133.0M,E 100.3M,MONTNEY,931.3M,0488421,03,S 593.8M,GAS,12-31-065-05W6,PRODUCTION,100/01-11-066-06W6/00,NUVISTA HZ ELM 1-11-66-6,2018,54.6710166632001,-118.7453012952
0488422,CANADIAN NATURAL RESOURCES LIMITED,01,1969.0M,724.9M W,CAMBRIAN,637M,0488422,03,100/16-05-066-05W4/00 S,WATER,09-08-066-05W4,INJECTION,100/16-05-066-05W4/00,CNRL WL-WDW016 LEMING 16-5-66-5,2018,54.6983970846001,-110.7142146468
0488423,CANADIAN NATURAL RESOURCES LIMITED,01,1647.7M,724.9M W,CAMBRIAN,637M,0488423,03,112/15-08-066-05W4/00 S,WATER,09-08-066-05W4,INJECTION,112/15-08-066-05W4/00,CNRL WL-WDW015 LEMING 15-8-66-5,2018,54.6983970846001,-110.7142146468
0488424,VESTA ENERGY LTD.,01,6100.0M,W 125.5M,DUVERNAY,869.9M,0488424,03,S 578.7M,OIL,09-09-040-27W4,CRUDE,100/08-02-040-27W4/00,VESTA JOFFRE,2018,52.4288693930001,-113.8222631088
