,COMP,DAY,DEPTH,EAST,FIELD,GL,LIC,MONTH,NORTH,PROD,SURF_LOC,TYPE,UWI,WELL,YEAR,LATT,LONGT
0488593,WHITECAP RESOURCES INC.,15,3876.0M,W 450.4M,CARDIUM,878.3M,0488593,03,N 280.6M,OIL,02-08-067-08W6,CRUDE,100/03-10-067-08W6/00,WHITECAP HZ WAPITI 3-10-67-8,2018,54.7800666472001,-119.1727730802
0488594,WHITECAP RESOURCES INC.,15,3776.0M,W 397.3M,CARDIUM,877.9M,0488594,03,N 308.5M,OIL,02-08-067-08W6,CRUDE,102/06-10-067-08W6/00,WHITECAP 102 HZ WAPITI 6-10-67-8,2018,54.7800666472001,-119.1727730802
0488595,WHITECAP RESOURCES INC.,15,3595.0M,W 441.6M,CARDIUM,878.1M,0488595,03,N 285.3M,OIL,02-08-067-08W6,CRUDE,103/06-10-067-08W6/00,WHITECAP 103 HZ WAPITI 6-10-67-8,2018,54.7800666472001,-119.1727730802
0488596,VELVET ENERGY LTD.,15,5600.0M,E 501.6M,MONTNEY,789.1M,0488596,03,S 488.3M,OIL,11-24-079-11W6,CRUDE,102/08-18-079-10W6/00,VELVET HZ GORD 8-18-79-10,2018,55.8637613090001,-119.5820026262
0488597,LANCE EXPLORATION CORP.,15,3150.0M,E 169.4M,CAMBRIAN,1279.2M,0488597,03,S 689.1M,OIL,12-18-001-23W4,CRUDE,100/15-13-001-24W4/00,LANCE HZ DELBON,2018,49.0370092836001,-113.0685786844
0488598,ARTIS EXPLORATION LTD.,15,5000.0M,W 186.9M,DUVERNAY,889.4M,0488598,03,S 65.0M,OIL,16-03-032-25W4,CRUDE,102/09-15-032-25W4/00,ARTIS 102 HZ TWINING 9-15-32-25,2018,51.7158916594001,-113.4562029334
0488599,ARTIS EXPLORATION LTD.,15,5000.0M,W 171.9M,DUVERNAY,888.8M,0488599,03,S 65.0M,OIL,16-03-032-25W4,CRUDE,100/12-14-032-25W4/00,ARTIS HZ TWINING 12-14-32-25,2018,51.7158916594001,-113.4562029334
0488600,YANGARRA RESOURCES CORP.,16,5194.9M,E 635.0M,CARDIUM,993.7M,0488600,03,N 260.5M,OIL,03-03-039-05W5,CRUDE,100/04-27-038-05W5/00,YANGARRA HZ MEDRIV 4-27-38-5,2018,52.3204788798334,-114.639503361167
0488601,YANGARRA RESOURCES CORP.,16,5460.3M,E 653.9M,CARDIUM,1032.9M,0488601,03,S 259.5M,OIL,14-33-039-08W5,CRUDE,102/14-09-040-08W5/00,YANGARRA 104 HZ FERRIER 14-9-40-8,2018,52.4016328280001,-115.0952807776
0488602,VELVET ENERGY LTD.,16,5600.0M,E 207.4M,MONTNEY,707.4M,0488602,03,S 494.4M,OIL,12-01-068-03W6,CRUDE,100/15-10-068-03W6/00,VELVET HZ ELM 15-10-68-3,2018,54.8600982170001,-118.3206074658
