,COMP,DAY,DEPTH,EAST,FIELD,GL,LIC,MONTH,NORTH,PROD,SURF_LOC,TYPE,UWI,WELL,YEAR,LATT,LONGT
0489120,CREW ENERGY INC.,11,712.0M,567.4M E,IRETON,684.9M,0489120,05,100/04-23-043-05W4/00 N,OIL,05-23-043-05W4,CRUDE,100/04-23-043-05W4/00,CREW DD RIBSTONE 4-23-43-5,2018,52.7136086806001,-110.6230570258
0489121,CREW ENERGY INC.,11,712.0M,567.8M E,IRETON,684.7M,0489121,05,100/12-23-043-05W4/00 N,OIL,05-23-043-05W4,CRUDE,100/12-23-043-05W4/00,CREW DD RIBSTONE 12-23-43-5,2018,52.7136086806001,-110.6230570258
0489122,HIGH GROUND ENERGY INC.,11,2276.0M,146.8M W,VIKING,747.8M,0489122,05,100/02-16-035-02W4/00 N,OIL,02-21-035-02W4,CRUDE,100/02-16-035-02W4/00,HIGH GROUND HZ PROVOST 2-16-35-2,2018,52.0135626164,-110.2215914028
0489123,HIGH GROUND ENERGY INC.,11,2285.0M,154.3M W,VIKING,746.6M,0489123,05,102/02-16-035-02W4/00 N,OIL,02-21-035-02W4,CRUDE,102/02-16-035-02W4/00,HIGH GROUND HZ 02 PROVOST 2-16-35-2,2018,52.0135626164,-110.2215914028
0489124,HEMISPHERE ENERGY CORPORATION,11,2000.0M,W 250.0M,MANNVILLE,725.6M,0489124,05,N 120.0M,OIL,01-19-021-05W4,CRUDE,102/10-19-021-05W4/00,HEMISPHERE 1A-19 ATL-BUFF 10-19-21-5,2018,50.791950805,-110.6763594888
0489125,HEMISPHERE ENERGY CORPORATION,11,2000.0M,W 260.0M,MANNVILLE,725.9M,0489125,05,N 120.0M,OIL,01-19-021-05W4,CRUDE,103/10-19-021-05W4/00,HEMISPHERE 1B-19 ATL-BUFF 10-19-21-5,2018,50.791950805,-110.6763594888
0489126,TIMBERROCK ENERGY CORP.,11,4005.0M,E 143.0M,GLAUCONITIC,1079.5M,0489126,05,N 75.2M,GAS,04-01-034-04W5,PRODUCTION,100/01-35-033-04W5/00,TIMBERROCK HZ CAROL,2018,51.8838541434001,-114.4409667466
0489127,TIMBERROCK ENERGY CORP.,11,4008.0M,E 153.0M,GLAUCONITIC,1079.7M,0489127,05,N 75.2M,GAS,04-01-034-04W5,PRODUCTION,100/16-02-034-04W5/00,TIMBERROCK HZ CAROL 16-2-34-4,2018,51.8838541434001,-114.4409667466
0489128,TIMBERROCK ENERGY CORP.,11,3893.0M,E 163.0M,GLAUCONITIC,1079.8M,0489128,05,N 75.2M,GAS,04-01-034-04W5,PRODUCTION,100/04-36-033-04W5/00,TIMBERROCK HZ CAROL 4-36-33-4,2018,51.8838541434001,-114.4409667466
0489129,TIMBERROCK ENERGY CORP.,11,3927.0M,E 173.0M,GLAUCONITIC,1079.9M,0489129,05,N 75.2M,GAS,04-01-034-04W5,PRODUCTION,100/13-01-034-04W5/00,TIMBERROCK HZ CAROL,2018,51.8838541434001,-114.4409667466
0489130,ROLLING HILLS ENERGY LTD.,11,2407.7M,192.1M W,VIKING,693.1M,0489130,05,100/15-20-034-03W4/00 S,OIL,16-17-034-03W4,CRUDE,100/15-20-034-03W4/00,RHE HZ PROVOST 15-20-34-3,2018,51.9196298958001,-110.3853887382
0489131,ROLLING HILLS ENERGY LTD.,11,2296.4M,192.1M W,VIKING,693.2M,0489131,05,102/15-20-034-03W4/00 S,OIL,16-17-034-03W4,CRUDE,102/15-20-034-03W4/00,RHE 102 HZ PROVOST 15-20-34-3,2018,51.9196298958001,-110.3853887382
0489132,ROLLING HILLS ENERGY LTD.,11,2288.4M,192.1M W,VIKING,693.5M,0489132,05,100/16-20-034-03W4/00 S,OIL,16-17-034-03W4,CRUDE,100/16-20-034-03W4/00,RHE HZ PROVOST 16-20-34-3,2018,51.9196298958001,-110.3853887382
0489133,ROLLING HILLS ENERGY LTD.,11,2367.1M,192.1M W,VIKING,693.3M,0489133,05,102/16-20-034-03W4/00 S,OIL,16-17-034-03W4,CRUDE,102/16-20-034-03W4/00,RHE 102 HZ PROVOST 16-20-34-3,2018,51.9196298958001,-110.3853887382
0489134,OBSIDIAN ENERGY LTD.,11,4610.0M,E 720.6M,CARDIUM,1024.1M,0489134,05,S 301.7M,OIL,14-01-043-08W5,CRUDE,100/13-12-043-08W5/00,OBE HZ WILLGR 13-12-43-8,2018,52.6789121364001,-115.0306843854
0489135,OBSIDIAN ENERGY LTD.,11,4500.0M,E 724.1M,CARDIUM,1024.1M,0489135,05,S 316.3M,OIL,14-01-043-08W5,CRUDE,100/09-06-043-07W5/00,OBE HZ WILLGR 9-6-43-7,2018,52.6789121364001,-115.0306843854
0489136,OUTLIER RESOURCES LTD.,11,3920.0M,W 85.0M,DUVERNAY,899.1M,0489136,05,S 289.9M,OIL,16-21-034-25W4,CRUDE,102/16-28-034-25W4/00,OUTLIER 102 HZ THREEHCK 16-28-34-25,2018,51.9342885636001,-113.4797359792
0489137,OUTLIER RESOURCES LTD.,11,4150.0M,W 100.0M,DUVERNAY,899.3M,0489137,05,S 289.9M,OIL,16-21-034-25W4,CRUDE,100/15-28-034-25W4/00,OUTLIER HZ THREEHCK 15-28-34-25,2018,51.9342885636001,-113.4797359792
0489138,WHITECAP RESOURCES INC.,11,4997.0M,E 123.5M,CARDIUM,999.9M,0489138,05,N 310.8M,OIL,04-23-038-07W5,CRUDE,100/11-11-038-07W5/00,WHITECAP FERRIER 11-11-38-7,2018,52.2769226138,-114.8964838266
0489139,HIGH GROUND ENERGY INC.,11,2374.0M,263.5M W,VIKING,689.6M,0489139,05,102/02-13-035-02W4/00 N,OIL,02-24-035-02W4,CRUDE,102/02-13-035-02W4/00,HIGH GROUND HZ 02 PROVOST 2-13-35-2,2018,52.013598076,-110.150281759
0489140,TOURMALINE OIL CORP.,11,4576.0M,W 584.6M,RIVER,1182.6M,0489140,05,S 167.9M,GAS,15-28-052-22W5,PRODUCTION,100/04-28-052-22W5/00,TOURMALINE HZ 102 LAMBERT 4-28-52-22,2018,53.5215330556,-117.1731567438
0489141,TOURMALINE OIL CORP.,11,4641.0M,W 579.6M,RIVER,1182.5M,0489141,05,S 167.9M,GAS,15-28-052-22W5,PRODUCTION,102/04-28-052-22W5/00,TOURMALINE HZ LAMBERT 4-28-52-22,2018,53.5215330556,-117.1731567438
0489142,BLACKSPUR OIL CORP.,11,3300.0M,W 50.0M,SPARKY,723.7M,0489142,05,S 446.1M,OIL,09-05-050-01W5,CRUDE,100/09-06-050-01W5/00,BLACKSPUR HZ LEDUC-WB,2018,53.2883638166001,-114.1018371366
0489143,TAMARACK ACQUISITION CORP.,11,1928.0M,315.9M W,VIKING,779.6M,0489143,05,102/13-33-034-09W4/00 S,OIL,15-33-034-09W4,CRUDE,102/13-33-034-09W4/00,TAC 15-33 HZ 102 PROVOST 13-33-34-9,2018,51.9632429424,-111.2123541712
0489144,THOR RESOURCES INC.,11,1889.0M,W 750.3M,PRECAMBRIAN,1028.7M,0489144,05,S 102.2M,GAS,15-09-001-11W4,PRODUCTION,100/02-16-001-11W4/00,THORRESOURCES KNAPPEN 2-16-1-11,2018,49.0224502082001,-111.410857226
0489145,DEVON CANADA CORPORATION,14,1717.0M,584.3M E,MCMURRAY,657.2M,0489145,05,130/09-29-075-07W4/00 N,WATER,05-29-075-07W4,INJECTION,130/09-29-075-07W4/00,DEVON MM5I CONKLIN 9-29-75-7,2018,55.5206564418001,-111.05628959
0489146,HIGH GROUND ENERGY INC.,14,2088.0M,40.0M E,VIKING,759.5M,0489146,05,100/13-28-035-02W4/00 N,OIL,04-28-035-02W4,CRUDE,100/13-28-035-02W4/00,HIGH GROUND HZ PROVOST 13-28-35-2,2018,52.0281471086001,-110.2335919344
0489147,HIGH GROUND ENERGY INC.,14,2090.0M,40.0M E,VIKING,758.7M,0489147,05,100/16-29-035-02W4/00 N,OIL,04-28-035-02W4,CRUDE,100/16-29-035-02W4/00,HIGH GROUND HZ PROVOST 16-29-35-2,2018,52.0281471086001,-110.2335919344
