,COMP,DAY,DEPTH,EAST,FIELD,GL,LIC,MONTH,NORTH,PROD,SURF_LOC,TYPE,UWI,WELL,YEAR,LATT,LONGT
0489219,CANADIAN NATURAL RESOURCES LIMITED,18,725.0M,662.2M E,DINA,717.3M,0489219,05,100/05-28-058-05W4/00 S,BITUMEN,12-28-058-05W4,CRUDE,100/05-28-058-05W4/00,CNRL 5D LNDBRGH 5-28-58-5,2018,54.0438847582001,-110.6881178706
0489220,CANADIAN NATURAL RESOURCES LIMITED,18,850.0M,668.0M E,DINA,714.8M,0489220,05,100/08-29-058-05W4/00 S,BITUMEN,12-28-058-05W4,CRUDE,100/08-29-058-05W4/00,CNRL 8A LNDBRGH 8-29-58-5,2018,54.0438847582001,-110.6881178706
0489221,DEVON CANADA CORPORATION,18,529.5M,346.5M E,MCMURRAY,659.5M,0489221,05,1AB/16-29-075-07W4/00 S,BITUMEN,13-28-075-07W4,CRUDE,1AB/16-29-075-07W4/00,DEVON 16A CONKLIN 16-29-75-7,2018,55.5278347862001,-111.0304061392
0489222,DEVON CANADA CORPORATION,18,466.6M,495.7M W,MCMURRAY,632.7M,0489222,05,1AA/07-34-075-07W4/00 N,BITUMEN,07-34-075-07W4,CRUDE,1AA/07-34-075-07W4/00,DEVON 7B CONKLIN 7-34-75-7,2018,55.5350600454001,-110.9917418324
0489223,DEVON CANADA CORPORATION,18,541.7M,674.6M W,MCMURRAY,645.8M,0489223,05,1AA/09-31-075-07W4/00 N,BITUMEN,08-31-075-07W4,CRUDE,1AA/09-31-075-07W4/00,DEVON 9B CONKLIN 9-31-75-7,2018,55.5350514576001,-111.069390166
0489224,DEVON CANADA CORPORATION,18,502.4M,753.9M W,MCMURRAY,598.8M,0489224,05,1AA/10-29-075-06W4/00 N,BITUMEN,07-29-075-06W4,CRUDE,1AA/10-29-075-06W4/00,DEVON 10B LEISMER 10-29-75-6,2018,55.5206568326,-110.8882140804
0489225,DEVON CANADA CORPORATION,18,528.6M,304.7M W,MCMURRAY,641.1M,0489225,05,1AA/10-31-075-07W4/00 S,BITUMEN,16-31-075-07W4,CRUDE,1AA/10-31-075-07W4/00,DEVON 10D CONKLIN 10-31-75-7,2018,55.5422781658,-111.0693899898
0489226,DEVON CANADA CORPORATION,18,556.0M,305.7M W,MCMURRAY,641.1M,0489226,05,1AB/16-31-075-07W4/00 S,BITUMEN,16-31-075-07W4,CRUDE,1AB/16-31-075-07W4/00,DEVON 16C CONKLIN 16-31-75-7,2018,55.5422781658,-111.0693899898
0489227,DEVON CANADA CORPORATION,18,502.3M,187.5M E,MCMURRAY,600.3M,0489227,05,1AB/03-29-075-06W4/00 N,BITUMEN,03-29-075-06W4,CRUDE,1AB/03-29-075-06W4/00,DEVON 3A LEISMER 3-29-75-6,2018,55.5206532064,-110.9009958662
0489228,CANADIAN NATURAL RESOURCES LIMITED,18,930.0M,343.9M W,LLOYDMINSTER,547.2M,0489228,05,105/01-03-063-05W4/00 S,BITUMEN,16-34-062-05W4,CRUDE,105/01-03-063-05W4/00,CNRL 1D2 WOLF LK 1-3-63-5,2018,54.4075309384001,-110.65778205
0489229,CANADIAN NATURAL RESOURCES LIMITED,18,723.0M,339.1M W,LLOYDMINSTER,547.2M,0489229,05,109/04-02-063-05W4/00 S,BITUMEN,16-34-062-05W4,CRUDE,109/04-02-063-05W4/00,CNRL 4D2 WOLF LK 4-2-63-5,2018,54.4075309384001,-110.65778205
0489230,GRIZZLY RESOURCES LTD.,22,1866.0M,W 74.8M,CREEK,692.3M,0489230,05,S 720.9M,OIL,09-35-078-08W6,CRUDE,102/08-36-078-08W6/00,GRL 102 HZ PROGRESS 8-36-78-8,2018,55.8053029760001,-119.1148423038
0489231,KARVE ENERGY INC.,22,1862.0M,96.3M W,VIKING,799.4M,0489231,05,102/11-34-035-09W4/00 N,OIL,01-03-036-09W4,CRUDE,102/11-34-035-09W4/00,KARVE 102 HZ PROVOST 11-34-35-9,2018,52.0572679118001,-111.1978121084
0489232,KARVE ENERGY INC.,22,1806.0M,96.3M W,VIKING,799.6M,0489232,05,103/11-34-035-09W4/00 N,OIL,01-03-036-09W4,CRUDE,103/11-34-035-09W4/00,KARVE 103 HZ PROVOST 11-34-35-9,2018,52.0572679118001,-111.1978121084
0489233,GRIZZLY RESOURCES LTD.,22,1865.0M,W 74.8M,CREEK,691.4M,0489233,05,S 700.9M,WATER,09-35-078-08W6,INJECTION,103/09-36-078-08W6/00,GRL 103 HZ PROGRESS 9-36-78-8,2018,55.8053029760001,-119.1148423038
0489234,KAISER EXPLORATION LTD.,22,2700.0M,100.0M W,OSTRACOD,1119.3M,0489234,05,100/16-18-006-26W4/00 S,OIL,16-18-006-26W4,CRUDE,100/16-18-006-26W4/00,KXL MCBRI 16-18-6-26,2018,49.4742751602001,-113.479286525
0489235,ALTURA ENERGY INC.,22,3511.1M,W 373.9M,REX,739.6M,0489235,05,S 736.1M,OIL,09-10-049-26W4,CRUDE,102/01-03-049-26W4/00,ALTURA 102 LEDUC-WB 1-3-49-26,2018,53.2155647428001,-113.7103435372
0489236,CANADIAN NATURAL RESOURCES LIMITED,23,600.0M,168.6M W,DINA,638.1M,0489236,05,1AA/01-17-059-04W4/00 N,BITUMEN,01-17-059-04W4,CRUDE,1AA/01-17-059-04W4/00,CNRL BEAVRDM 1-17-59-4,2018,54.0949381076001,-110.5577646168
0489237,CENOVUS FCCL LTD.,23,825.0M,17.5M W,MCMURRAY,730.4M,0489237,05,1F2/08-23-070-03W4/00 N,WATER,01-23-070-03W4,PRODUCTION,1F2/08-23-070-03W4/00,CVE FCCL B1-23 FISHER 8-23-70-3,2018,55.0692582904,-110.338722477
0489238,HIGH POINT OIL INC.,23,2172.0M,E 271.4M,IRETON,923.4M,0489238,05,N 379.2M,OIL,04-05-035-24W4,CRUDE,102/04-05-035-24W4/00,HIGHPOINTOILINC 102 HUXLEY,2018,51.9700459460001,-113.4001231425
0489239,CENOVUS FCCL LTD.,23,694.5M,365.8M E,MCMURRAY,735.5M,0489239,05,1F2/14-14-070-03W4/00 S,WATER,13-14-070-03W4,PRODUCTION,1F2/14-14-070-03W4/00,CVE FCCL 5A13-14 FISHER 14-14-70-3,2018,55.0620350040001,-110.3512779444
0489240,GRIZZLY RESOURCES LTD.,23,1581.0M,E 120.0M,CREEK,669.7M,0489240,05,S 180.0M,OIL,13-32-078-07W6,CRUDE,100/16-32-078-07W6/00,GRL 100 HZ VALHALLA 16-32-78-7,2018,55.8052765004001,-119.050085814
0489241,GRIZZLY RESOURCES LTD.,23,1794.0M,E 100.0M,CREEK,670.5M,0489241,05,S 170.0M,OIL,13-32-078-07W6,CRUDE,100/13-31-078-07W6/00,GRL 100 HZ VALHALLA 13-31-78-7,2018,55.8052765004001,-119.050085814
0489242,GRIZZLY RESOURCES LTD.,23,1833.0M,E 100.0M,CREEK,670.8M,0489242,05,S 180.0M,WATER,13-32-078-07W6,INJECTION,102/13-31-078-07W6/00,GRL 102 HZ VALHALLA 13-31-78-7,2018,55.8052765004001,-119.050085814
0489243,GRIZZLY RESOURCES LTD.,23,1550.0M,E 120.0M,CREEK,669.6M,0489243,05,S 170.0M,WATER,13-32-078-07W6,INJECTION,102/16-32-078-07W6/00,GRL 102 HZ VALHALLA 16-32-78-7,2018,55.8052765004001,-119.050085814
0489244,ENCANA CORPORATION,23,2200.0M,W 532.6M,MONTNEY,818.4M,0489244,05,S 186.1M,GAS,15-06-075-07W6,PRODUCTION,102/15-06-075-07W6/00,ECA 102 LA GLACE 15-6-75-7,2018,55.4709692542,-119.0631666622
0489245,BOULDER ENERGY LTD.,23,3960.0M,W 724.8M,RIVER,1170.6M,0489245,05,N 419.1M,OIL,07-03-047-14W5,CRUDE,102/08-02-047-14W5/00,BLDR 7B-3 HZ 102 BRAZR 8-2-47-14,2018,53.0198240373334,-115.954284179167
0489246,KELT EXPLORATION LTD.,23,5670.0M,W 718.7M,MONTNEY,761.8M,0489246,05,N 69.9M,OIL,02-12-078-09W6,CRUDE,100/01-08-078-08W6/00,KELT EXP HZ PROGRESS 1-8-78-8,2018,55.7398449244001,-119.244233487
0489247,ALTURA ENERGY INC.,23,3500.0M,E 379.9M,REX,732.1M,0489247,05,N 734.8M,OIL,05-13-049-26W4,CRUDE,102/13-24-049-26W4/00,ALTURA 102 LEDUC-WB 13-24-49-26,2018,53.2229692906001,-113.6736568836
0489248,ALTURA ENERGY INC.,23,3500.0M,E 392.4M,REX,731.9M,0489248,05,N 734.7M,OIL,05-13-049-26W4,CRUDE,102/14-24-049-26W4/00,ALTURA 102 LEDUC-WB 14-24-49-26,2018,53.2229692906001,-113.6736568836
0489249,TAMARACK ACQUISITION CORP.,23,5137.7M,E 650.2M,CARDIUM,975M,0489249,05,S 269.5M,OIL,14-35-042-04W5,CRUDE,100/13-11-043-04W5/00,TAC 14-35 HZ PEMBINA 13-11-43-4,2018,52.6636148786001,-114.4719844676
0489250,TAMARACK ACQUISITION CORP.,23,4952.9M,E 665.2M,CARDIUM,975.2M,0489250,05,S 269.5M,OIL,14-35-042-04W5,CRUDE,100/14-11-043-04W5/00,TAC 14-35 HZ PEMBINA 14-11-43-4,2018,52.6636148786001,-114.4719844676
0489251,TAMARACK ACQUISITION CORP.,23,4865.2M,E 695.2M,CARDIUM,976.2M,0489251,05,S 269.3M,OIL,14-35-042-04W5,CRUDE,103/15-11-043-04W5/00,TAC 14-35 HZ 103 PEMBINA,2018,52.6636148786001,-114.4719844676
0489252,TAMARACK ACQUISITION CORP.,23,4954.1M,E 710.2M,CARDIUM,976M,0489252,05,S 269.3M,OIL,14-35-042-04W5,CRUDE,100/16-11-043-04W5/00,TAC 14-35 HZ PEMBINA 16-11-43-4,2018,52.6636148786001,-114.4719844676
0489253,ADVANTAGE OIL & GAS LTD.,23,4300.0M,W 102.1M,MONTNEY,868.6M,0489253,05,N 551.8M,GAS,08-08-076-12W6,PRODUCTION,102/04-17-076-12W6/00,AVN 102 HZ PCOUPES 4-17-76-12,2018,55.5653496562001,-119.8129053476
0489254,ADVANTAGE OIL & GAS LTD.,23,4300.0M,W 77.4M,MONTNEY,870.9M,0489254,05,N 520.3M,GAS,08-08-076-12W6,PRODUCTION,102/13-08-076-12W6/00,AVN 102 HZ PCOUPES 13-8-76-12,2018,55.5653496562001,-119.8129053476
0489255,ADVANTAGE OIL & GAS LTD.,23,4500.0M,W 71.2M,MONTNEY,871.3M,0489255,05,N 512.5M,GAS,08-08-076-12W6,PRODUCTION,102/16-04-076-12W6/00,AVN 102 HZ PCOUPES 16-4-76-12,2018,55.5653496562001,-119.8129053476
0489256,ADVANTAGE OIL & GAS LTD.,23,4800.0M,W 52.7M,MONTNEY,872.3M,0489256,05,N 488.9M,GAS,08-08-076-12W6,PRODUCTION,100/08-04-076-12W6/00,AVN HZ PCOUPES 8-4-76-12,2018,55.5653496562001,-119.8129053476
0489257,ADVANTAGE OIL & GAS LTD.,23,4550.0M,W 46.5M,MONTNEY,873M,0489257,05,N 481.0M,GAS,08-08-076-12W6,PRODUCTION,103/09-04-076-12W6/00,AVN 103 HZ PCOUPES 9-4-76-12,2018,55.5653496562001,-119.8129053476
0489258,ALTURA ENERGY INC.,23,3500.0M,W 452.3M,REX,735.5M,0489258,05,S 703.4M,OIL,10-11-049-26W4,CRUDE,100/01-02-049-26W4/00,ALTURA LEDUC-WB 1-2-49-26,2018,53.2155776244001,-113.6859693788
0489259,PARAMOUNT RESOURCES LTD.,23,4993.0M,W 730.5M,GLAUCONITIC,955M,0489259,05,S 240.0M,GAS,15-35-039-06W5,PRODUCTION,100/05-11-040-06W5/00,PARA HZ WILLGR 5-11-40-6,2018,52.4008417804001,-114.74799912
0208298,CANADIAN NATURAL RESOURCES LIMITED,25,2520.0M,143.2M E,WABISKAW,613.1M,0208298,05,102/15-23-081-22W4/02 S,BITUMEN,13-22-081-22W4,CRUDE,102/15-23-081-22W4/02,CNRL BP16 RE BRINT 15-23-81-22,2018,56.0366325022,-113.3621925002
