,COMP,DAY,DEPTH,EAST,FIELD,GL,LIC,MONTH,NORTH,PROD,SURF_LOC,TYPE,UWI,WELL,YEAR,LATT,LONGT
473034,CENOVUS FCCL LTD.,3,1470.0M,651.4M W,MCMURRAY,591.9M,473034,7,112/04-11-076-06W4/02 N,BITUMEN,08-03-076-06W4,CRUDE,112/04-11-076-06W4/02,CVE FCCL J01P08 LEISMER 4-11-76-6,2018,55.54974552,-110.8364527
474467,SECURE ENERGY SERVICES INC.,3,2313.0M,E 58.0M,BELLOY,670M,474467,7,N 745.0M,GAS,05-04-073-07W6,RESUMPTIONPRODUCTION,100/05-04-073-07W6/02,SECURE GRANDPR 5-4-73-7,2018,55.288476,-119.0154492
489812,TANGLE CREEK ENERGY LTD.,3,3400.0M,E 57.1M,DUNVEGAN,836.4M,489812,7,S 473.6M,OIL,12-20-060-17W5,CRUDE,103/16-20-060-17W5/00,TANGLE CREEK KAYBOBS 16-20-60-17,2018,54.20533669,-116.5163949
489813,TAQA NORTH LTD.,3,4360.0M,311.7M E,GLAUCONITIC,1024.8M,489813,7,100/14-27-019-24W4/00 S,OIL,13-25-019-24W4,CRUDE,100/14-27-019-24W4/00,TQN HZ HERRON,2018,50.63913399,-113.2040404
489814,TAQA NORTH LTD.,3,4200.0M,359.7M E,GLAUCONITIC,1122.3M,489814,7,100/15-16-019-24W4/00 S,OIL,13-17-019-24W4,CRUDE,100/15-16-019-24W4/00,TQN HZ HERRON,2018,50.61016543,-113.2963488
489815,HURON RESOURCES CORP.,3,4669.0M,E 80.0M,WABAMUN,896.6M,489815,7,N 545.2M,OIL,05-02-031-26W4,CRUDE,100/15-27-030-26W4/00,HURON RES HZ TWINING 15-27-30-26,2018,51.62112839,-113.5858367
489816,HAMMERHEAD RESOURCES INC.,3,1962.0M,W 87.4M,CADOTTE,724.1M,489816,7,S 272.7M,WATER,16-35-067-04W6,INJECTION,100/05-01-068-04W6/00,HHR ELM 5-1-68-4,2018,54.84545487,-118.4860658
489817,HAMMERHEAD RESOURCES INC.,3,1963.0M,W 79.6M,CADOTTE,724.1M,489817,7,S 280.5M,WATER,16-35-067-04W6,INJECTION,100/11-36-067-04W6/00,HHR ELM 11-36-67-4,2018,54.84545487,-118.4860658
489818,ATHABASCA OIL CORPORATION,3,5500.0M,W 338.9M,MONTNEY,1074.4M,489818,7,S 178.5M,GAS,16-30-060-23W5,PRODUCTION,100/14-06-061-23W5/00,ATH HZ PLACID 14-6-61-23,2018,54.21991393,-117.4288123
489819,ATHABASCA OIL CORPORATION,3,5900.0M,W 330.9M,MONTNEY,1074.4M,489819,7,S 178.5M,GAS,16-30-060-23W5,PRODUCTION,100/16-06-061-23W5/00,ATH HZ PLACID 16-6-61-23,2018,54.21991393,-117.4288123
489820,ATHABASCA OIL CORPORATION,3,5400.0M,W 322.9M,MONTNEY,1074.4M,489820,7,S 178.5M,GAS,16-30-060-23W5,PRODUCTION,103/16-20-060-23W5/00,ATH 103 HZ PLACID 16-20-60-23,2018,54.21991393,-117.4288123
489821,ATHABASCA OIL CORPORATION,3,5000.0M,W 314.9M,MONTNEY,1074.4M,489821,7,S 178.6M,GAS,16-30-060-23W5,PRODUCTION,103/01-29-060-23W5/00,ATH HZ PLACID 1-29-60-23,2018,54.21991393,-117.4288123
489822,ATHABASCA OIL CORPORATION,3,5300.0M,W 306.9M,MONTNEY,1074.4M,489822,7,S 178.6M,GAS,16-30-060-23W5,PRODUCTION,100/16-36-060-24W5/00,ATH HZ PLACID 16-36-60-24,2018,54.21991393,-117.4288123
489823,ATHABASCA OIL CORPORATION,3,5300.0M,W 298.9M,MONTNEY,1074.4M,489823,7,S 178.6M,GAS,16-30-060-23W5,PRODUCTION,102/01-01-061-24W5/00,ATH 102 HZ PLACID 1-1-61-24,2018,54.21991393,-117.4288123
489824,PEYTO EXPLORATION & DEVELOPMENT CORP.,3,4250.0M,E 100.0M,NOTIKEWIN,1268.8M,489824,7,N 507.1M,GAS,05-19-042-12W5,PRODUCTION,103/10-19-042-12W5/00,PEYTO LAWRNC 10-19-42-12,2018,52.62711719,-115.7187453
489825,TORC OIL & GAS LTD.,3,3760.4M,E 133.7M,CARDIUM,986.7M,489825,7,N 318.0M,OIL,04-24-045-12W5,CRUDE,100/04-23-045-12W5/00,TORC HZ BRAZEAU R PEMBINA 4-23-45-12,2018,52.88851595,-115.6117109
489826,IRON BRIDGE RESOURCES INC.,3,5500.0M,W 585.6M,MONTNEY,692.1M,489826,7,S 41.2M,OIL,15-14-068-03W6,CRUDE,100/09-16-068-03W6/00,IBR HZ ELM 9-16-68-3,2018,54.8891902,-118.3334811
489827,IRON BRIDGE RESOURCES INC.,3,5200.0M,W 584.7M,MONTNEY,692.1M,489827,7,S 25.2M,OIL,15-14-068-03W6,CRUDE,100/16-16-068-03W6/00,IBR HZ ELM 16-16-68-3,2018,54.8891902,-118.3334811
489828,NAL RESOURCES LIMITED,3,5538.5M,226.2M E,CARDIUM,1234M,489828,7,100/04-28-026-03W5/00 N,OIL,03-04-027-03W5,CRUDE,100/04-28-026-03W5/00,NAL HZ LOCHEND,2018,51.27206868,-114.3674095
489829,DEVON CANADA CORPORATION,3,583.0M,570.4M W,MCMURRAY,657.6M,489829,7,100/16-29-075-07W4/00 S,NONE,09-29-075-07W4,OBSERVATION,100/16-29-075-07W4/00,DEVON 16B CONKLIN 16-29-75-7,2018,55.5285552,-111.0435071
489830,NORTH 40 RESOURCES LTD.,3,2760.0M,E 193.6M,BANFF,805.2M,489830,7,S 88.5M,OIL,13-05-027-17W4,CRUDE,100/13-08-027-17W4/00,NORTH 40 HZ CESS,2018,51.27939076,-112.3629663
489831,GRIZZLY RESOURCES LTD.,3,1810.0M,W 80.0M,CREEK,700.4M,489831,7,N 409.9M,WATER,08-35-078-08W6,INJECTION,103/08-36-078-08W6/00,GRL 103 HZ PROGRESS 8-36-78-8,2018,55.79804312,-119.1148362
489832,WHITECAP RESOURCES INC.,3,3390.0M,E 75.9M,DUNVEGAN,864M,489832,7,S 293.4M,OIL,13-01-064-02W6,CRUDE,102/13-02-064-02W6/00,WHITECAP 102 HZ KARR 13-2-64-2,2018,54.51103678,-118.1663912
489833,IRON BRIDGE RESOURCES INC.,3,5300.0M,W 585.2M,MONTNEY,692.1M,489833,7,S 33.2M,OIL,15-14-068-03W6,CRUDE,102/09-16-068-03W6/00,IBR 102 HZ ELM 9-16-68-3,2018,54.8891902,-118.3334811
489834,HURON RESOURCES CORP.,3,4592.0M,E 70.0M,WABAMUN,896.6M,489834,7,N 545.2M,OIL,05-02-031-26W4,CRUDE,100/11-10-031-26W4/00,HURON RES HZ WORKMAN,2018,51.62112839,-113.5858367
489835,CALTEX RESOURCES LTD.,4,1650.0M,656.0M E,LLOYDMINSTER,661.6M,489835,7,102/10-21-037-01W4/00 S,WATER,12-22-037-01W4,INJECTION,102/10-21-037-01W4/00,CALTEX_RES 102 IN PROVOST,2018,52.19535976,-110.0667566
489836,CALTEX RESOURCES LTD.,4,2050.0M,559.7M W,LLOYDMINSTER,665.1M,489836,7,100/13-22-037-01W4/00 S,WATER,09-22-037-01W4,INJECTION,100/13-22-037-01W4/00,CALTEX_RES INJ HZ PROVOST 13-22-37-1,2018,52.19537153,-110.0549921
489837,CALTEX RESOURCES LTD.,4,1650.0M,551.7M W,LLOYDMINSTER,664.6M,489837,7,105/11-23-037-01W4/00 S,WATER,09-22-037-01W4,INJECTION,105/11-23-037-01W4/00,CALTEX_RES 105 IN PROVOST,2018,52.19537153,-110.0549921
489838,CALTEX RESOURCES LTD.,4,3220.0M,535.7M W,LLOYDMINSTER,664.2M,489838,7,100/14-23-037-01W4/00 S,OIL,09-22-037-01W4,CRUDE,100/14-23-037-01W4/00,CALTEX_RES MHZ PROVOST,2018,52.19537153,-110.0549921
489839,DELTASTREAM ENERGY CORPORATION,4,2700.0M,W 334.7M,CLEARWATER,732.9M,489839,7,N 98.7M,BITUMEN,01-30-075-25W4,CRUDE,102/01-19-075-25W4/00,DELTASTREAM HZ MARTENH 1-19-75-25,2018,55.52062311,-113.8640766
489840,DELTASTREAM ENERGY CORPORATION,4,2700.0M,W 340.9M,CLEARWATER,732.9M,489840,7,N 106.5M,BITUMEN,01-30-075-25W4,CRUDE,100/02-19-075-25W4/00,DELTASTREAM HZ MARTENH 2-19-75-25,2018,55.52062311,-113.8640766
489841,CALTEX RESOURCES LTD.,4,1650.0M,588.0M E,LLOYDMINSTER,664M,489841,7,102/07-21-037-01W4/00 N,WATER,05-22-037-01W4,INJECTION,102/07-21-037-01W4/00,CALTEX_RES 102 INJ PROVOST,2018,52.18812687,-110.0667606
489842,DELTASTREAM ENERGY CORPORATION,4,2700.0M,E 791.6M,CLEARWATER,689.3M,489842,7,S 197.6M,BITUMEN,14-34-074-25W4,CRUDE,100/15-02-075-25W4/00,DELTASTREAM HZ MARTENH 15-2-75-25,2018,55.45501397,-113.7654794
489843,DELTASTREAM ENERGY CORPORATION,4,2700.0M,W 800.7M,CLEARWATER,689.4M,489843,7,S 197.6M,BITUMEN,15-34-074-25W4,CRUDE,100/16-02-075-25W4/00,DELTASTREAM HZ MARTENH 16-2-75-25,2018,55.45501251,-113.752822
489844,CALTEX RESOURCES LTD.,4,1375.0M,242.8M W,LLOYDMINSTER,675.3M,489844,7,102/04-23-037-01W4/00 N,OIL,02-23-037-01W4,CRUDE,102/04-23-037-01W4/00,CALTEX_RES HZ PROVOST,2018,52.18811686,-110.0311765
489845,CALTEX RESOURCES LTD.,4,2100.0M,543.7M W,LLOYDMINSTER,664.5M,489845,7,102/13-22-037-01W4/00 S,OIL,09-22-037-01W4,CRUDE,102/13-22-037-01W4/00,CALTEX_RES 102 MH PROVOST 13-22-37-1,2018,52.19537153,-110.0549921
489846,XTO ENERGY CANADA ULC,4,7000.0M,E 800.4M,DUVERNAY,896.6M,489846,7,S 801.1M,GAS,11-14-060-20W5,PRODUCTION,103/08-26-060-20W5/00,XTO HZ KAYBOBS 8-26-60-20,2018,54.19083257,-116.8913309
489847,CANADIAN NATURAL RESOURCES LIMITED,4,1891.0M,130.0M W,SUNBURST,824.8M,489847,7,102/08-18-011-17W4/00 S,OIL,15-07-011-17W4,CRUDE,102/08-18-011-17W4/00,CNRL HZ 102 RETLAW,2018,49.89651078,-112.3045343
489848,BAYTEX ENERGY LTD.,4,384.0M,320.4M E,REX,552.8M,489848,7,102/14-36-061-05W4/00 S,BITUMEN,14-36-061-05W4,CRUDE,102/14-36-061-05W4/00,BAYTEX 14B BNNYVLLE 14-36-61-5,2018,54.32026797,-110.6201666
489849,CANADIAN NATURAL RESOURCES LIMITED,4,577.7M,732.6M W,REX,556.7M,489849,7,100/03-01-061-05W4/00 N,BITUMEN,07-01-061-05W4,CRUDE,100/03-01-061-05W4/00,CNRL 3D BNNYVLLE 3-1-61-5,2018,54.24036777,-110.6078475
